0,1,2,3,4,5
Division,District,Name,Total beds,ALS (Days),BOR (%)
Khulna,Meherpur,Gangni Upazila Health Complex,31,2,88.5
,,Mujibnagar Upazila Health Complex,31,2.8,93
,Narail,Kalia Upazila Health Complex,50,2.2,64.1
,,Lohagara Upazila Health Complex,50,2.5,77.1
,Satkhira,Assasuni Upazila Health Complex,31,3.6,81.9
,,Debhata Upazila Health Complex,50,4.9,86.3
,,Kalaroa Upazila Health Complex,50,3.2,79.4
,,Kaliganj Upazila Health Complex,50,6,89.8
,,Shyamnagar Upazila Health Complex,50,3.2,194.5
,,Tala Upazila Health Complex,50,9.8,232.5
Mymensingh,Jamalpur,Bakshiganj Upazila Health Complex,31,3.3,116.3
,,Dewanganj Upazila Health Complex,50,3.6,73.3
,,Islampur Upazila Health Complex,50,2.2,52.5
,,Madarganj Upazila Health Complex,31,3.2,66.4
,,Melandaha Upazila Health Complex,50,2.6,45.6
,,Sarishabari Upazila Health Complex,50,2.1,103.3
,"Mymensin-
gh",Bhaluka Upazila Health Complex,50,2.8,109.4
,,Dhubaura Upazila Health Complex,31,1.8,88
,,Fulbaria Upazila Health Complex,31,2.5,92.7
,,Fulpur Upazila Health Complex,50,1.7,87.1
,,Gofargaon Upazila Health Complex,50,7.4,77.6
,,Gouripur Upazila Health Complex,31,1.6,91
,,Haluaghat Upazila Health Complex,50,1,90.3
,,Iswarganj Upazila Health Complex,50,1.9,86
,,Muktagacha Upazila Health Complex,31,1,71.8
,,Nandail Upazila Health Complex,50,2.7,96.2
,,Trisal Upazila Health Complex,50,2.7,70.3
,Netrakona,Atpara Upazila Health Complex,50,,
,,Barhatta Upazila Health Complex,31,1.6,41.9
,,Durgapur Upazila Health Complex,50,2.3,71.2
,,Kalmakanda Upazila Health Complex,50,2.7,74.6
,,Kendua Upazila Health Complex,50,1.6,42.7
,,Khaliajuri Upazila Health Complex,31,3.3,61.5
,,Madan Upazila Health Complex,50,3.5,84.3
,,Purbadhala Upazila Health Complex,50,3,127
,Sherpur,Jhenaigati Upazila Health Complex,31,2,58.4
,,Nakhla Upazila Health Complex,50,2.3,72.5
,,Nalitabari Upazila Health Complex,31,3.3,111.9
,,Sribordi Upazila health Complex,31,4,81
Rajshahi,Bogra,Adamdighi Upazila Health Complex,50,2.2,55
,,Dhunat Upazila Health Complex,50,3.6,79.7
,,Dhupchachia Upazila Health Complex,50,1.9,87.6
,,Gabtali Upazila Health Complex,50,3.3,74.7
,,Kahaloo Upazila Health Complex,50,3.3,88.8
,,Nandigram Upazila Health Complex,31,2.6,100.2
,,Sariakandi Upazila Health Complex,50,4.1,104.6
,,Shajahanpur Upazila Health Complex,31,5.1,77.5
,,Sherpur Upazila Health Complex,31,1.6,87.9
,,Shibganj Upazila Health Complex,50,2.6,80.1
,,Sonatala Upazila Health Complex,50,3.3,74.3
