0,1,2,3
"Table 8.2. Age and sex distribution of the deaths against admissions among inpatients in public
hospitals in 2015",,,
Age/sex category,"% of total admissions
(n=5,711,641)","Number
of
deaths","Death rate (%)
against admission in
respective categories"
Male children aged 5 years or less,11.20,"13,824",13.06
Males aged more than 5 years,36.05,"47,323",44.71
Female children aged 5 years or less,10.93,"11,141",10.52
Females aged more than 5 years,41.81,"33,568",31.71
,100,,100
Total males (all ages),47.26,"61,147",57.76
Total females (all ages),52.74,"44,709",42.24
,100,,100
Total children aged 5 years or less,22.13,"24,965",23.58
Total patients aged more than 5 years,77.87,"80,891",76.42
Grand total,100,"105,856",100
