0,1,2,3
Division,Name of institution,Year of establishment,No. of seats
Dhaka,"Fortune Institute of Medical Technology, Kamarpara Road, Turag Thana, Dhaka",2011,50
,"New Turag General Hospital Private Limited, Station Road, Tongi, Gazipur",2011,50
,"Rajdhani Medical Assistant Training School (Rajdhani MATS), Mirpur, Dhaka",2011,100
,"Dhaka Microlab Institute of Medical Technology (IST, MATS)",2011,50
,"Nidasa Medical Assistant Training School, 20/24 North South Road, Siddik Bazar, Dhaka",2011,50
,"Bibartan Medical Assistant Training School, Mirpur, Dhaka",2011,30
,"Matri Sheba Medical Training School (MATS), Kona Bari, Gazipur",2012,25
,"Ideal Medical Training Institute & Health Technology, Mymensingh Road, Sabalia, Tangail",2012,50
,"Jefri Institute of Health Science & Technology & MATS Dhanmondi, Rayer Bazar, Dhaka.",2013,50
,"JMATS & Medical Institute, College Road, Jamalpur",2013,50
,"D-Medical Assistant Training School, Mirpur Bus Stand, Dhaka",2013,50
,"Atik Medical Assistant Training School, Brammondi, Narsingdi",2013,50
,"Ma Medical Assistant Training School, Itahat, Gazipur",2013,50
,"Mawna Medical Assistant Training School, Mawna Chourasta, Gazipur",2013,50
,"Shyamoli Ideal Medical Assistant Training School, Mohammadpur, Dhaka",2014,75
,"The Radium MATS & Technology Institute, Ghiur, Manikganj",2014,50
,"Jonoseba Medical Assistant Training School, Arambag, Chapainowabganj",2014,50
,"Uttara Adhunik Medical Institute MATS, Abdullahpur, Uttara, Dhaka",2014,50
,"Dhaka City Medical Assistant Training School, Swamibag, Dhaka",2014,50
,"Bangladesh Cancer Society Medical Assistant Training School, Darussalam, Mirpur, Dhaka",2014,50
,"Momotaj Medical Assistant Training School, Dhanshiri, Dhamrai, Dhaka",2014,50
,"Byte Medical Assistant Training School & Health Technology Institute, Uthuli, Shibaloy,
Manikganj",2014,50
,"Central Institute of Health Science & MATS , Mirpur 14, Dhaka",2015,50
,"Eastern Medical Assistant Training School, Tikatuli, Dhaka",2015,50
,"Ekhlas Uddin Khan Medical Assistant Training School, Ghiur, Manikganj",2015,50
,"Gurukul Medical Assistant Training School, Dhokhin Bhabanipur, Rajbari",2015,50
,"Tongi Medical Assistant Training School, Road No 10, Uttara, Dhaka",2015,50
,"Dr. Rubi Medical Assistant Training School, Shyamoli, Dhaka",2011,50
,"Scholar Medical Assistant Training School (MATS), Maskanda, Mymensingh",2011,50
,"AITAM Welfare Organization, Mohammadpur, Dhaka",2012,50
,"Firoza Medical Assistant Training School, Sholakia, Kishoreganj",2012,50
,"Jamuna Medical Assistant Training School, Tangail Sadar",2012,75
,"Gazipur Pharmaceutical Institute, Chandra, Gazipur Sadar",2011,50
Rajshahi,"Rajshahi Medical Assistant Training School, Rajshahi",2008,100
,"Health Ways Medical Assistant Training School, Santahar, Bogra",2013,60
,"SIMT Medical Assistant Training School, Nishindho, Bogra",2011,30
,"TMSS Medical Assistant Training School, Thengamara, Bogra",2008,150
,"Udayan Medical Assistant Training School, Rajshahi",2008,180
,"Medical Assistant Training School, Joypurhat",2008,50
,"Ideal Medical Technology, Sherpur Road Colony, Bogra",2008,80
,"People’s International Medical Assistant Training School, Airport Sarak, Sapura, Rajshahi",2008,50
,"Galaxy Medical Assistant Training School, Sapura, Rajshahi",2010,100
,"Pabna Community Medical Assistant Training School, Bishnupur, Sathia, Pabna",2011,50
,"Bangladesh Institute of Medical Technology, Hatem Kha, Boalia, Rajshahi",2011,50
,"PIMT Medical Assistant Training School, (MATS), Bogra",2011,100
,"Natore Medical Assistant Training School , Natore",2011,50
,"ASI Medical Assistant Training School, (MATS), Sirajganj",2011,50
,"NDC Medical Assistant Training School, (NDC MATS), Paharpur Road, Joypurhat",2011,75
,"Pabna Medical Assistant Training School, Mujib Palace, PP Road, Singa, Pabna",2011,50
,"Joypurhat Medical Assistant Training School, Joypurhat",,50
