0,1,2,3,4,5
"Table 16.2. Numbers of sanctioned, filled-up and vacant posts at administrative, managerial, academic
and clinical positions under DGHS (June 2016)",,,,,
Name of post,"Total no. of
sanctioned posts",Filled-up,,Vacant,
,,No.,(%),No.,(%)
Director General,1,1,100,0,0
Additional Director General/Equivalent,5,4,80,1,20
Director/Principal/Vice-Principal/Equivalent,109,102,94,7,16
Deputy Director/Equivalent,128,95,74,33,26
"Assistant Director/Civil Surgeon/
Equivalent",208,154,74,54,26
Deputy Civil Surgeon/UHFPO,935,774,83,161,17
Professor,617,402,65,215,35
Associate Professor,945,731,77,214,23
Assistant Professor,"1,442","1,115",77,327,23
Senior Consultant,539,325,60,214,40
Senior Lecturer,8,6,75,2,25
Junior Lecturer,32,28,88,4,13
Junior Consultant/Equivalent,"3,661","1,824",50,"1,837",50
Assistant Surgeon/Equivalent,"14,768","16,313",11,"1,545",10
Other posts,369,268,73,101,27
Total,"23,767","22,142",93,"1,625",7
