0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
,Item,,,Y200,1,,Y2002,,,Y2003,,,Y2004,,Y2005,,,Y2006,,,Y2007,
Benedict’s Solutio n,,,420,,,600,,,555,,,470,,460,,,294,,,480,,
ESR Fluid,,,60,,,160,,,160,,,150,,160,,,110,,,237,,
20% Sulphuric Acid Solut ion,,,40,,,40,,,95,,,95,,30,,,-,,,20,,
N/10 Hydrochloric Acid Solu tion,,,70,,,60,,,90,,,10,,60,,,70,,,80,,
Acetone-alcoh ol,,,Nil,,,Nil,,,55,,,20,,10,,,-,,,10,,
5% Acetic Acid Soluti on,,,60,,,60,,,80,,,100,,60,,,20,,,70,,
WBC Fluid,,,60,,,50,,,80,,,40,,60,,,20,,,40,,
RBC Fluid,,,20,,,50,,,80,,,70,,30,,,-,,,20,,
30% Suplhosalicylic Ac id,,,10,,,Nil,,,Nil,,,10,,11.6,,,-,,,10,,
20% Sodium Hydroxide Solu tion,,,Nil,,,Nil,,,Nil,,,20,,Nil,,,-,,,-,,
20% Potassium Hydroxide Solu tion,,,Nil,,,02,,,11.5,,,Nil,,Nil,,,-,,,-,,
Semen Analysis Flu id,,,20,,,Nil,,,36.5,,,20,,10,,,-,,,05,,
Normal Salin e,,,60,,,100,,,90,,,70,,40,,,30,,,80,,
Methylene Blu e,,,20,,,35,,,57,,,30,,10,,,10,,,05,,
Crystal Viole t,,,15,,,15,,,30,,,10,,10,,,-,,,-,,
Basic Fuchsin,,,05,,,10,,,33,,,10,,05,,,32,,,-,,
Carbol Fuchsi n,,,22,,,22,,,66,,,44,,11,,,10,,,-,,
Gram Iodin e,,,10.5,,,05,,,35,,,10,,05,,,05,,,10,,
Lugol’s Iodin e,,,15.5,,,20,,,40,,,15,,15,,,15,,,16,,
Leishman Stai n,,,44,,,96,,,69,,,47,,62,,,29,,,65.1,,
Giemsa Stain,,,29,,,48,,,39.5,,,Nil,,36 l,,,16,,,51.8,,
Glucose Kit s,,,100 kits,,,47 kits,,,78 kits,,,100 kits,,48 kits,,,98,,,-,,
Bilirubin Kit s,,,62 kits,,,68 kits,,,152 kits,,,97 kits,,Nil,,,99,,,44,,
Creatinine Kit s,,,Nil,,,Nil,,,54,,,51,,Nil,,,-,,,-,,
Uric Acid Kit s,,,Nil,,,Nil,,,27,,,60,,Nil,,,-,,,-,,
EDTA Vial,,,Nil,,,Nil,,,Nil,,,Nil,,Nil,,,500,,,-,,
