0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,Year,,R,eside nce,,,Underweigh,t,,Stunted,,,Wasted,
1995,,,Urban,,,46.3,,,42.9%,,,13.3%,,
,,,Rural,,,59.3%,,,52.8%,,,17.2%,,
,,,Nationa l,,,57.4%,,,51.4%,,,16.6%,,
2000,,,Urban,,,41.8%,,,37.5%,,,10.9%,,
,,,Rural,,,52.6%,,,50.2%,,,12.2%,,
,,,Nationa l,,,51.0%,,,48.3%,,,12.0%,,
2005,,,Urban,,,38.5%,,,32.5%,,,10.8%,,
,,,Rural,,,50.0%,,,44.9%,,,13.1%,,
,,,Nationa l,,,47.8%,,,42.4%,,,12.7%,,
"2000
2006*",,,Nationa l,,,48.0%,,,43.0%,,,13.0%,,
Source: CNS 1995-2000; CMNS 2005; *UNICEF 2008,,,,,,,,,,,,,,
