0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,,,,,,,,,No. of non-bed,,,,
,,,,,,,No. of hospitals,,,,,,No. of beds in,
,Type of facility,,,No. of facility,,,,,,facility in this,,,,
,,,,,,,in this category,,,,,,this category,
,,,,,,,,,,category,,,,
,,,,,,,,,,,,,,
251-500 bed hospital,,,17,,,2155,,,0,,,35338,,
101-250 bed hospital,,,19,,,,,,,,,,,
51-100 bed hospital,,,26,,,,,,,,,,,
21-50 bed hospital,,,121,,,,,,,,,,,
1-20 bed hospital,,,1972,,,,,,,,,,,
,Pathology Laboratory/ Diagnostic,,,,,,,,,,,,,
,,,,4629,,,0,,,4629,,,0,
,clinic,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Total,,,6784,,,2155,,,4629,,,35338,
