0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,Progress
,Allocation,,,,,Expenditures,,,,,
,,,,,,,,,,,
"Operational Plans
(Tota l 19)",GOB &,RPA,,Other,,GOB &,RPA,,Other,,against
,JDCF,GOB,Other,"than
RPA",Total,JDCF,GOB,Other,"tha n
RPA",Total,allocation%
,,,,,,,,,,,
"Essential Service
Delivery","7,212.00","9,015.00","22,349.00","10,749.00","49,325.00","5,812.00","8,115.00","22,349.00","8,044.41","44,320.41",89.85
"Communicable Disease
Contro l","2,600.00","8,887.00","1,113.00",-,"12,600.00","1,262.47","4,742.61","2,588.58",-,"8,593.66",68.20
TB & Leprosy Contro l,"1,006.00",450.00,"8,131.45","1,420.55","11,008.00",732.28,371.97,"9,262.86",243.97,"10,611.08",96.39
"Health Education and
Promotion",992.00,"1,118.00",-,50.00,"2,160.00",986.88,713.19,-,50.00,"1,750.07",81.02
"Improved Hospital
Service Managemen t","6,150.00","13,909.00",-,"91.00 20,150.00",,"4,609.26","11,856.18",-,38.44,"16,503.88",81.91
"Alternative Medical
Care",920.00,46.00,-,-,966.00,741.28,41.85,-,-,783.13,81.07
"Non-Communicable
Diseases & Other Public
Health Intervention s",204.00,"2,500.00",-,-,"2,704.00",77.49,"1,783.18",-,-,"1,860.67",68.81
"National AIDS/STD
Program",261.00,"4,618.00","2,037.00","7,800.00","14,716.00",102.41,"1,671.76","2,037.00","6,800.00","10,611.17",72.11
In-service Training,313.00,"2,200.00",-,559.00,"3,072.00",174.58,"1,579.54",-,"1,128.47","2,882.59",93.83
Pre-service Education,"1,775.00",335.00,-,-,"2,110.00","1,700.99",283.01,-,-,"1,984.00",94.03
"Procurement Storage
& Suppli es","3,017.00",40.00,-,-,"3,057.00","2,980.69",30.17,-,-,"3,010.86",98.49
"Research &
Development (Health )",18.00,682.00,-,-,700.00,10.39,503.48,-,-,513.87,73.41
MIS-Health,290.00,810.00,-,-,"1,100.00",226.12,476.54,-,29.77,732.43,66.58
Quality Assurance,16.00,100.00,-,-,116.00,14.12,100.00,-,-,114.12,98.38
"Sector-wide Program
Managemen t",10.00,290.00,-,-,300.00,8.90,171.69,-,-,180.59,60.20
"Human Resource
Managemen t",25.00,70.00,-,-,95.00,24.95,51.44,-,-,76.39,80.41
"Improved Financial
Managemen t",22.00,28.00,-,-,50.00,11.00,28.00,-,-,39.00,78.00
"Micronutrient
Supplementatio n",318.00,"1,769.00",-,-,"2,087.00",282.61,887.94,-,-,"1,170.55",56.09
,,,,,310.00,,,,,305.81,98.65
National Eye Care,200.00,110.00,-,-,,195.81,110.00,-,-,,
,,,,,,,,,,,
,,,,,,,,,,,
Total (La kh Taka)=,"25,349.00","46,977.00","33,630.45","20,669.55","126,626.00","19,277.32","30,873.50","36,237.44","16,400.54","102,788.80",81.18
,,,,,,,,,,,
,,,,,,,,,,,
"Note: In some OPs, DPA fund was not show n",,,,,,,,,,,
,,,,,,,,,,,
