0,1
Name (alphabetical order),No. of Seats
"1. Bangladesh Medical College
House # 35, Road # 14/A
Dhanmondi R/A, Dhaka",130
"2. BGC Trust Medical College
Kanchan nagar, Chandanaish, Chittagong1",100
"3. Central Medical College, Comilla",50
"4. Chottogram, Ma O Shishu Medical College, Dhaka",60
"5. Community Based Medical College, Mymensingh",100
"6. Delta Medical College, Mirpur, Dhaka",50
"7. Dhaka National Medical College
53/1, Johnson Road, Dhaka",100
"8. Durra Samad Red Crescent Medical College
Sylhet3",50
"9. East West Medical College, Uttara, Dhaka",50
"10. Eastern Medical College, Comilla",50
"11. Enam Medical College, Savar, Dhaka",60
"12. Holy Family Red Crescent Medical College
New Eskaton, Moghbazar, Dhaka",110
"13. IBN Sina Medical College, Dhaka",50
"14. Ibrahim Medical College, Shegun Bagicha, Dhaka",60
"15. Institute of Applied Health Sciences, Chittagong2",200
"16. International Medical College, Tongi",50
"17. Islami Bank Medical College, Bowalia, Rajshahi",50
"18. Jahurul Islam Medical College
Bajitpur, Kishoregonj",80
"19. Jalalabad Ragib Rabeya Medical College
Sunamgonj Road, Sylhet1",160
"20. Khawja Yunus Medical College, Sirajganj",50
"21. Kumudini Medical College, Mirzapur, Tangail",75
"22. Medical College for Women and Hospital
Road # 9, Sector # 1, Uttara, Dhaka",80
"23. Moulana Bhashani Medical College
Plot 26, Road # 10, Sector # 11, Uttara, Dhaka",50
"24. Nightangel Medical College, Ashulia, Dhaka",50
"25. North Bengal Medical College, Shirajgonj1",50
"26. North East Medical College, Sylhet",100
"27. Northern International Medical College
Dhanmondi, Dhaka3",50
"28. Northern Medical College, Dhap, Rangpur1",30
"29. Samaj Vittic Medical College, Savar, Dhaka2",70
"30. Shahabuddin Medical College, Gulshan, Dhaka",50
"31. Southern Medical College, Chittagong1",50
"32. Sylhet women Medical College, Sylhet",50
"33. Tairunnesa Medical College, Tongi, Gazipur",50
"34. Uttara Adhunik Medical College, Uttara, Dhaka",50
"35. ZH Sikdar Women Medical College
Monika Estate, West Dhanmondi, Dhaka",75
Total=,24903
"Note: (1) College is now running under High Court Rule; (2) Private
University; (3) MOHFW imposed embargo on admission; thus number of
private medical colleges currently running and total number of seats will be
33 and 2390 respectively.
Source: Director, Medical Education and Health Manpower Development,
Mohakhali, Dhaka.",
