0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
,Sl.,,,,,,Adjusted,,,Estimated,,,,,,,,,,,,,,,,
,,,,District,,,,,,,,,,,,,,,,,,,,,,
,No.,,,,,,2001,,,2002,,,2003,,,2004,,,2005,,,2006,,,2007,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Barisal Division,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,Barisal,,,"2,465,392",,,"2,501,880",,,"2,538,368",,,"2,574,855",,,"2,611,343",,,"2,650,513",,,"2,690,271",,
2,,,Barguna,,,"887,144",,,"900,274",,,"913,403",,,"926,533",,,"939,663",,,"953,758",,,"968,064",,
3,,,Bhola,,,"1,788,019",,,"1,814,482",,,"1,840,944",,,"1,867,407",,,"1,893,870",,,"1,922,278",,,"1,951,112",,
4,,,Jhalakhati,,,"727,175",,,"737,937",,,"748,699",,,"759,462",,,"770,224",,,"781,777",,,"793,504",,
5,,,Patuakhali,,,"1,537,747",,,"1,560,506",,,"1,583,264",,,"1,606,023",,,"1,628,782",,,"1,653,214",,,"1,678,012",,
6,,,Pirojpur,,,"1,154,549",,,"1,171,636",,,"1,188,724",,,"1,205,811",,,"1,222,898",,,"1,241,241",,,"1,259,860",,
Division-Total,,,,,,"8,560,026",,,"8,686,714",,,"8,813,403",,,"8,940,091",,,"9,066,780",,,"9,202,782",,,"9,340,823",,
,Chittagong Division,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,Bandarban,,,"315,717",,,"320,390",,,"325,062",,,"329,735",,,"334,407",,,"339,423",,,"344,514",,
8,,,B-Bar ia,,,"2,496,403",,,"2,533,350",,,"2,570,297",,,"2,607,243",,,"2,644,190",,,"2,683,853",,,"2,724,111",,
9,,,Chandpur,,,"2,352,623",,,"2,387,442",,,"2,422,261",,,"2,457,079",,,"2,491,898",,,"2,529,276",,,"2,567,216",,
10,,,Chittagong,,,"6,869,744",,,"6,971,416",,,"7,073,088",,,"7,174,761",,,"7,276,433",,,"7,385,579",,,"7,496,363",,
11,,,Comilla,,,"4,819,989",,,"4,891,325",,,"4,962,661",,,"5,033,997",,,"5,105,332",,,"5,181,912",,,"5,259,641",,
12,,,Cox's Bazar,,,"1,847,186",,,"1,874,524",,,"1,901,863",,,"1,929,201",,,"1,956,539",,,"1,985,887",,,"2,015,675",,
13,,,Feni,,,"1,266,038",,,"1,284,775",,,"1,303,513",,,"1,322,250",,,"1,340,987",,,"1,361,102",,,"1,381,518",,
14,,,Kharachari,,,"542,642",,,"550,673",,,"558,704",,,"566,735",,,"574,766",,,"583,387",,,"592,138",,
15,,,Laxmipur,,,"1,560,570",,,"1,583,666",,,"1,606,763",,,"1,629,859",,,"1,652,956",,,"1,677,750",,,"1,702,917",,
16,,,Noakhali,,,"2,698,658",,,"2,738,598",,,"2,778,538",,,"2,818,478",,,"2,858,419",,,"2,901,295",,,"2,944,815",,
17,,,Rangamati,,,"551,250",,,"559,409",,,"567,567",,,"575,726",,,"583,884",,,"592,642",,,"601,532",,
Division-Total,,,,,,"25,320,820",,,"25,695,568",,,"26,070,316",,,"26,445,064",,,"26,819,813",,,"27,222,110",,,"27,630,442",,
,Dhaka Division,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,Dhaka,,,"9,047,911",,,"9,181,820",,,"9,315,729",,,"9,449,638",,,"9,583,547",,,"9,727,300",,,"9,873,210",,
19,,,Faridpur,,,"1,829,507",,,"1,856,584",,,"1,883,660",,,"1,910,737",,,"1,937,814",,,"1,966,881",,,"1,996,384",,
20,,,Gazipur,,,"2,124,018",,,"2,155,453",,,"2,186,889",,,"2,218,324",,,"2,249,760",,,"2,283,506",,,"2,317,759",,
21,,,Gopalgonj,,,"1,209,160",,,"1,227,056",,,"1,244,951",,,"1,262,847",,,"1,280,742",,,"1,299,953",,,"1,319,452",,
22,,,Jamalpur,,,"2,210,921",,,"2,243,643",,,"2,276,364",,,"2,309,086",,,"2,341,808",,,"2,376,935",,,"2,412,589",,
23,,,Kesho regonj,,,"2,684,591",,,"2,724,323",,,"2,764,055",,,"2,803,787",,,"2,843,519",,,"2,886,172",,,"2,929,464",,
24,,,Madaripur,,,"1,186,211",,,"1,203,767",,,"1,221,323",,,"1,238,879",,,"1,256,435",,,"1,275,282",,,"1,294,411",,
25,,,Manikgonj,,,"1,366,735",,,"1,386,963",,,"1,407,190",,,"1,427,418",,,"1,447,646",,,"1,469,361",,,"1,491,401",,
26,,,Munshigonj,,,"1,353,297",,,"1,373,326",,,"1,393,355",,,"1,413,383",,,"1,433,412",,,"1,454,913",,,"1,476,737",,
27,,,Myme nsingh,,,"4,682,234",,,"4,751,531",,,"4,820,828",,,"4,890,125",,,"4,959,422",,,"5,033,813",,,"5,109,321",,
28,,,Naray angonj,,,"2,278,843",,,"2,312,570",,,"2,346,297",,,"2,380,024",,,"2,413,751",,,"2,449,957",,,"2,486,707",,
29,,,Narshingdi,,,"1,996,552",,,"2,026,101",,,"2,055,650",,,"2,085,199",,,"2,114,748",,,"2,146,469",,,"2,178,666",,
30,,,Netrokona,,,"2,069,408",,,"2,100,035",,,"2,130,662",,,"2,161,290",,,"2,191,917",,,"2,224,796",,,"2,258,168",,
31,,,Rajbari,,,"999,704",,,"1,014,500",,,"1,029,295",,,"1,044,091",,,"1,058,886",,,"1,074,769",,,"1,090,891",,
32,,,Shariatpur,,,"1,134,498",,,"1,151,289",,,"1,168,079",,,"1,184,870",,,"1,201,660",,,"1,219,685",,,"1,237,980",,
33,,,Sherpur,,,"1,331,083",,,"1,350,783",,,"1,370,483",,,"1,390,183",,,"1,409,883",,,"1,431,031",,,"1,452,497",,
34,,,Tangail,,,"3,424,028",,,"3,474,704",,,"3,525,379",,,"3,576,055",,,"3,626,730",,,"3,681,131",,,"3,736,348",,
Division-Total,,,,,,"40,928,701",,,"41,534,446",,,"42,140,191",,,"42,745,935",,,"43,351,680",,,"44,001,955",,,"44,661,985",,
