0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Site,,,,Male,,,,,,Female,,,,
,,,,,,,,,,,,,,
,,,,No.,,,%,,,No.,,,%,
,,,,,,,,,,,,,,
Lungs,,,1082,,,71.2,,,162,,,7.5,,
Cervix,,,-,,,-,,,579,,,26.9,,
Breast,,,10,,,0.7,,,857,,,39.7,,
"Lymph node and
Lymp hatic",,,417,,,27.4,,,164,,,7.6,,
Larynx,,,155,,,10.2,,,8,,,0.4,,
Esophagus,,,281,,,18.5,,,123,,,5.7,,
Liver,,,164,,,10.8,,,65,,,3.0,,
Tongue,,,155,,,10.2,,,60,,,2.8,,
Rectum,,,103,,,6.8,,,43,,,2.0,,
Sto mach,,,235,,,15.5,,,95,,,4.4,,
,,,,,,,,,,,,,,
,Total,,,1520,,,,,,2156,,,,
,,,,,,,100.0,,,,,,100.0,
,,,,,,,,,,,,,,
