0,1,2,3
,,,
Sl No.,Name of the departments,Unit,
12,Department of Microbiology,1,
13,Department of Immunology and Molecular Biology,1,
14,Department of Blood Transfusion Medicine,1,
15,Department of ENT Oncology,1,
16,Department of Dental and Faciomaxillary Surgical Oncology,1,
17,Department of Plastic and Reconstructive Surgical Oncology,1,
18,Department of Orthopaedic Surgical Oncology,1,
19,Department of Genito-urinary Surgical Oncology,1,
20,Department of Anaesthesiology,1,
21,Department of Physical Medicine & Rehabilitation,1,
22,Department of Psychotherapy,1,
23,Department of Emergency Oncology,1,
24,Department of Palliative Care,1,
