0,1,2
Table Continued...,,
Sl. no.,Drugs/Medicines,
232,Pilocarpine,Eye drops (Various strengths)
233,Acetazolamide,Tablet
234,Carbachol,Tablet/Eye drops
,SL No. 151,
,21.5 Mydriatics,
235,Phenylephrine Hydrochloride,Eye drops
236,Homatropine,Eye drops
,SL No. 09,Injection/eye drop/ointment
,22. Oxytocics and antioxytocics,
,22.1 Oxytocics,
237,Trifluperazine,Tablet/Oral solution
238,Oxytocin,Injection
239,Ergometrine,Injection
,22.2 Antioxytocics (tocolytics),
240,Nifedipine,Capsule
,23. Peritoneal dialysis solution,
241,"Intraperitoneal dialysis solution (of appropriate
composition)",Parenteral solution
,24. Medicines for mental and behavioural disorders,
,24.1 Medicines used in psychotic disorders,
242,Chlorpromazine Hydrochloride,Tablet/Syrup/Injection
243,Haloperidol,Tablet/Capsule/Oral liquid
,24.2 Medicines used in mood disorders,
,24.2.1 Medicines used depressive disorders,
244,Imipramine Hydrochloride,Tablet/Syrup
245,Nortriptyline,Tablet
246,Flupenthixol Dihydrochloride/Decanoate,Tablet/Injection
,SL No. 119,
,24.2.2 Medicines used in bipolar disorders,
247,Carbamazepine,"Tablet/Oral liquid/
Suppository"
248,Lithium Carbonate/Citrate,Tablet/Oral liquid
,24.3 Medicines for anxiety disorders,
249,Diazepam,Tablet/Injection
250,Clobazam,Tablet
,24.4 Medicines used for obsessive compulsive disorders,
251,Clomipramine Hydrochloride,"Tablet/Syrup/Capsule/
Injection"
,24.5 Medicines for disorders due to psychoactive substance use,
Table 7.1. Contd.,,
