0,1,2,3,4,5,6,7,8
"Table 10.1. Summary of year-wise epidemiological data (2000-2016) from the malaria-endemic
districts",,,,,,,,
Year,Positive cases,,P. falciparum,,P. vivax,,Death,
,No.,"Per 1,000
population",No.,%,No.,%,No.,"Per 1,000
population"
2000,"54,223",5.63,"39,272",72.4,"14,951",27.6,478,0.049
2001,"54,216",5.55,"39,274",72.4,"14,942",27.6,490,0.049
2002,"62,269",6.23,"46,418",74.5,"15,851",25.5,588,0.058
2003,"54,654",5.40,"41,356",75.7,"13,298",24.3,577,0.056
2004,"58,894",5.67,"46,402",78.8,"12,492",21.2,535,0.052
2005,"48,121",4.56,"37,679",78.3,"10,442",21.7,501,0.047
2006,"32,857",3.06,"24,828",75.6,"8,029",24.4,307,0.029
2007,"59,857",5.46,"46,791",78.2,"13,066",21.8,228,0.021
2008,"84,690",7.73,"70,281",83.0,"14,409",17.0,154,0.014
2009,"63,873",5.83,"57,020",89.3,"6,853",10.7,47,0.004
2010,"55,873",5.10,"52,049",93.2,"3,824",6.8,37,0.003
2011,"51,773",3.91,"49,194",95.0,"2,579",5.0,36,0.003
2012,"29,518",2.23,"27,819",94.2,"1,699",5.8,11,0.001
2013,"26,891",2.03,"25,908",96.3,983,5.8,15,0.001
2014,"57,480",4.34,"54,132",94.2,"3,348",5.8,45,0.003
2015,"39,719",3.00,"35,708",89.9,"4,011",10.1,9,0.0007
2016,27737,1.58,"24,431",88.1,"3,306",11.9,17,0.0009
