0,1,2,3,4
"Sl.
no",Name of facility,"No. of
sanctioned
beds","Average
length of
stay","Bed-
occupancy
rate"
189,Kalia Upazila Health Complex,50,2.3,64.2
190,Kaliakair Upazila Health Complex,31,2.1,108.9
191,"Kaliganj Upazila Health Complex, Gazipur",50,2.5,75.7
192,"Kaliganj Upazila Health Complex, Jhenaidah",50,2,101.5
193,"Kaliganj Upazila Health Complex, Lalmonirhat",50,2.5,55.1
194,"Kaliganj Upazila Health Complex, Satkhira",50,5.8,89.7
195,Kalihati Upazila Health Complex,50,2.2,75.8
196,Kalkini Upazila Health Complex,50,2.7,57.9
197,Kalmakanda Upazila Health Complex,50,2.4,68.5
198,Kamalganj Upazila Health Complex,31,1.3,96.8
199,Kamarkhanda Upazila Health Complex,31,2.8,58.6
200,Kamolnagar Upazila Health Complex,31,2.6,179.2
201,Kapasia Upazila Health Complex,50,2.6,73.9
202,Kaptai Upazila Health Complex,31,3,56.6
203,Karimganj Upazila Health Complex,50,1.8,63.1
204,Kashba Upazila Health Complex,31,1.4,63.1
205,Kashiani Upazila Health Complex,31,3.3,67.1
206,Kathalia Upazila Health Complex,31,4.9,95
207,Katiadi Upazila Health Complex,50,1.5,74.5
208,"Kawkhali Upazila Health Complex, Pirojpur",31,4,72.9
209,"Kawkhali Upazila Health Complex, Rangamati",10,2.2,78.1
210,Kazipur Upazila Health Complex,31,3.8,99.2
211,Kendua Upazila Health Complex,50,2,41
212,Keraniganj Upazila Health Complex,31,3.8,78.8
213,Keshabpur Upazila Health Complex,50,2.3,87.4
214,Khaliajuri Upazila Health Complex,31,3.9,60.9
215,Khansama Upazila Health Complex,31,2.3,103.4
216,Khetlal Upazila Health Complex,50,2.8,70
217,Khoksha Upazila Health Complex,50,2.1,78.5
218,Kishoreganj Upazila Health Complex,50,2.2,83.7
219,Kotalipara Upazila Health Complex,50,2.1,79.1
220,Kotchandpur Upazila Health Complex,50,2,93.4
221,Kownia Upazila Health Complex,31,2.5,94.2
222,Koyra Upazila Health Complex,31,2,104
223,Kulaura Upazila Health Complex,50,1,74.5
224,Kuliarchar Upazila Health Complex,31,2.2,57.7
225,Kumarkhali Upazila Health Complex,50,2.5,133.4
226,Kutubdia Upazila Health Complex,50,1.3,39.1
