0,1,2,3,4,5,6,7,8,9
"Table 8.3 THE, GDP, and annual growth rates, 1997-2015",,,,,,,,,
Year,"Total health
expenditure",,GDP,,Per capita,,,,
,"Amount
(Taka in
million)","Nominal
Growth
rate (%)","Amount
(Taka in
million)","Nomi-
nal
Growth
rate (%)",GDP,THE,,,"Ratio
of THE
to GDP
(%)"
,,,,,Taka,,US $,PPP $,
1997,"46,755",,"2,060,032",,"16,835",382,$9,$26,2.3
1998,"50,904",9,"2,269,299",10,"18,183",408,$9,$27,2.2
1999,"56,985",12,"2,465,089",9,"19,377",448,$9,$29,2.3
2000,"63,608",11,"2,685,033",9,"20,974",492,$10,$31,2.3
2001,"72,030",14,"2,913,371",9,"22,351",533,$10,$35,2.5
2002,"81,559",13,"3,142,804",8,"23,695",615,$11,$38,2.6
2003,"87,882",8,"3,483,201",11,"25,828",652,$11,$39,2.5
2004,"100,456",14,"3,832,939",10,"27,988",734,$12,$43,2.6
2005,"115,399",15,"4,270,741",11,"30,751",831,$14,$48,2.7
2006,"137,114",19,"4,823,370",13,"34,299",975,$15,$55,2.8
2007,"156,977",14,"5,497,997",14,"38,661","1,104",$16,$60,2.9
2008,"181,775",16,"6,286,822",14,"43,746","1,265",$18,$65,2.9
2009,"207,671",14,"7,050,718",12,"48,543","1,430",$21,$69,2.9
2010,"246,040",18,"7,975,387",13,"54,296","1,675",$24,$76,3.1
Table 8.3. Contd.,,,,,,,,,
