0,1,2
Table Continued...,,
Sl. no.,Drugs/Medicines,
208,Thyroxine sodium,Tablet
209,Levothyroxine,Tablet
,19. Immunologicals,
,19.1 Diagnostic agents,
210,Sodium Diatrozoate with Meglumine Sodium,Injection
211,"Tuberculin, purified protein derivative",Injection
,19.2 Sera and immunoglobulins,
212,Diphtheria Antitoxin,
213,Polyvalent Antivenoms,
214,Tetanus Antitoxin,"Injection (Minimum 10.000
IU dose)"
215,Human Normal Immunoglobulin,Injection
,19.3 Vaccines,
216,BCG Vaccine,
217,DPT Vaccine,
218,"Pentavalent vaccine (DPT, HepatitiesB, Hib)",
219,Pneumococcal Vaccine (PCV),
220,Poliomyelitis Vaccine(OPV & IPV),
221,MR Vaccine (Mesales-Rubella),
222,Measles vaccine,Injection
223,Hepatitis-B Vaccine,Injection
,20. Muscle relaxants (peripherally-acting) and cholinesterase inhibitors,
224,Neostigmine,Tablet/Injection
225,Suxamethonium Chloride,Injection
226,Pancurium Bromide,Injection
227,Gallamine Trithiodide,Injection
,21. Ophthalmological preparations,
,21.1 Anti-infective agents,
228,Framycetin Sulphate,Eye drops/Ointment
229,Gentamycin,"Injection/Eye drops/
Ointment"
230,Tetracaine/Amethocaine,Eye drops
,SL No. 53,Eye drops/Ointment
,21.2 Anti-inflammatory agents,
231,Corticosteroid,Eye drops/Ointment
,SL No. 158,Eye drops
,21.3 Local anaesthetics,
,SL No. 230,
,21.4 Miotics and antiglaucoma medicines,
Table 7.1. Contd.,,
