0,1,2
Table Continued...,,
Sl. no.,Drugs/Medicines,
252,Methadone Hydrochloride,Tablet/Injection
,25. Medicines acting on the respiratory tract,
,25.1 Antiasthmatic and medicines for chronic obstructive pulmonary disease,
253,Salbutamol,Tablet/Elixir
254,Adrenaline/Epinephrine,Injection
255,Aminophylline,Tablet/Injection
,"26. Solutions correcting water, electrolyte and acid-base disturbances",
,26.1 Oral,
256,Oral Rehydration Salts (ORS),Sachet for 500 mL
257,Cholera Fluid,Intravenous Infusion
258,Sodium hydrogen carbonate,Injection
,26.2 Parenteral,
259,Dextrose in water,"Intravenous Infusion, 5%,
25% and 50%"
260,Supplemental Parenteral Nutrients,For adding to infusion
261,Glucose,Injectable solution
262,Glucose with sodium chloride,Injectable soluton
263,Sodium chloride,Injectable solution
264,Sodium chloride 3%,IV fluid
265,Sodium chloride quarter strength (0.225%)+Dextrose 5%,IV fluid
,SL No 259,Injectable solution
,26.3 Miscellaneous,
266,Water for Injection (sterile/pyrogen free),
267,Dialysis Fluid,
,27. Vitamins and minerals,
268,Ascorbic Acid/Vitamin C,Tablet
269,Vitamin A,"Capsule 50,000-2,00,000 IU
(Injection 100,000 IU for SL
and above)"
270,Vitamin B1,Tablet/Injection
271,Vitamin K,Tablet/Injection
272,Vitamin E,Tablet
273,Vitamin B-Complex,Tablet/Drops
274,Calcium Gluconate,Tablet/Injection
275,Lodized Oil,Injection
276,Vitamin B12,Injection
277,Nicotinamide,Tablet
278,Pyridoxine,Tablet
Table 7.1. Contd.,,
