0,1,2
Table Continued...,,
Sl. no.,Drugs/Medicines,
145,Enalapril,Tablet
146,Spironolactone,Tablet
147,Hydrochlorothiazide,Tablet
,12.4 Medicines used in heart failure,
148,Dopamine,Injection
,SL No. 137,
,SL No. 144,
,12.5 Antithrombotic medicines,
149,Clopidogrel,Tablet
,12.6 Lipid-lowering agents,
150,Simvastatin,Tablet
,12.7 Anti-Hypotensive medicine,
151,Metarminol,Injection
,13. Dermatological medicines (topical),
,13.1 Antifungal medicines,
152,Miconazole,"Cream/Dusting Powder/
Spray/Oral gel"
153,Sodium thiosulphate,Solution
,13.2 Anti-infective medicines,
154,Potassium Permanganate,Crystal/Solution (0.1%)
,Sl No. 57,Ointment
155,Silver sulfadiazine,Cream
,13.3 Anti-inflammatory and antipruritic medicines,
156,Calamine,Lotion
157,Betamethasone,Ointment/Cream
158,Betamethasone with Neomycin,Ointment
159,Noemycin sulphate with Bacitracin,Ointment/Powder
,SL No. 26,Cream
,SL No. 27,Cream/Ointment
,13.4 Medicines affecting skin differentiation and proliferation,
160,Salicylic Acid+Benzoic Acid,Ointment/Cream
161,Fluorouracil,Capsul/Injection/Cream
162,Salicylic acid,Solution
,13.5 Scabicides and pediculicides,
163,Benzyl Benzoate,Lotion
164,Permethrin,Cream/Lotion
,14. Diagnostic agents,
,14.1 Ophthalmic medicines,
165,Flurescein,Eye drops
Table 7.1. Contd.,,
