0,1,2,3,4
"Sl.
no",Name of facility,"No. of
sanctioned
beds","Average
length of
stay","Bed-
occupancy
rate"
75,Borhanuddin Upazila Health Complex,50,2.2,110.9
76,Brahmmanpara Upazila Health Complex,31,2.6,77
77,Burichong Upazila Health Complex,31,2,98.1
78,Chauddagram Upazila Health Complex,50,1.7,74.2
79,"Chakaria Upazila Health Complex, Cox’s Bazar",50,2,152.9
80,Chandanaish Upazila Health Complex,31,2.5,79
81,Chandina Upazila Health Complex,31,1,112.7
82,Charbhadrason Upazila Health Complex,31,4.3,67.9
83,Charfession Upazila Health Complex,50,2,143.2
84,Charghat Upazila Health Complex,50,1.3,58.9
85,Chatkhil Upazila Health Complex,50,2.1,77.7
86,Chatmohar Upazila Health Complex,50,2.4,108.8
87,Chhagalnaya Upazila Health Complex,50,3,85.8
88,Chhatak Upazila Health Complex,31,1.3,58
89,Chilmari Upazila Health Complex,50,3.2,54.2
90,Chirirbandar Upazila Health Complex,31,3.6,71.6
91,Chitalmari Upazila Health Complex,31,2.6,94.7
92,Chowgacha Upazila Health Complex,50,2.1,163.6
93,Chunarughat Upazila Health Complex,31,1.4,91
94,Companiganj SH Upazila Health Complex,31,2.3,57.1
95,Companiganj Upazila Health Complex,50,2.7,113.5
96,Dacope Upazila Health Complex,50,5.8,169.8
97,Daganbhuiya Upazila Health Complex,31,2.9,102.4
98,Damudya Upazila Health Complex,31,1.7,78.5
99,Damurhuda Upazila Health Complex,31,1.8,72.5
100,Dashmina Upazila Health Complex,50,2.2,48.4
101,Daudkandi Upazila Health Complex,31,2.2,99.6
102,Daulatkhan Upazila Health Complex,50,2,47.7
103,Daulatpur KT Upazila Health Complex,50,8.2,66.5
104,Daulatpur Upazila Health Complex,31,2.8,59.7
105,Debhata Upazila Health Complex,50,4.8,76.6
106,Debiganj Upazila Health Complex,50,2,72.3
107,Delduar Upazila Health Complex,31,2.9,56.3
108,Derai Upazila Health Complex,31,1.5,109.6
109,Dewanganj Upazila Health Complex,50,2.9,49.7
110,Dhamairhat Upazila Health Complex,50,2.7,48.1
111,Dhamrai Upazila Health Complex,50,2.5,83.3
112,Dharmapasha Upazila Health Complex,50,2,77.9
