0,1,2
"Table 4.9 Secondary and tertiary hospitals/health centers under the DGHS, with the number of
functional beds",,
A. Hospitals,,
Type,"No. of
facilites","No. of
functional beds"
100-bed hospital,1,100
Chest diseases hospitals,13,816
Dental college hospital,1,200
District and general hospitals,64,"10,450"
Hospital of alternative medicine,2,200
Infectious disease hospitals,5,180
Leprosy hospitals,3,130
Medical college hospitals,17,"13,713"
Specialized hospital,5,"1,050"
Specialty postgraduate institute and hospital,11,"3,034"
Trauma center,5,100
Total (hospital),127,"29,973"
B. Other facilities (Specialized health centers),,
Name,"No. of
facilites","No. of
functional beds"
Chittagong Skin & Hygiene Treatment Center,1,Not applicable
Tejgaon Health Complex,1,Not applicable
National Center for Control of Rheumatic Fever & Heart Disease,1,Not applicable
Total hospitals and other facilities,130,"29,973"
