0,1,2,3,4,5,6,7
,"NATIONAL PRIORITY: Health, population and nutrition",,,,,,
,"UNSDCF OUTCOME INVOLVING UNFPA: By 2026, more people, in particular, the most vulnerable and marginalized, have improved access to and utilization of quality,",,,,,,
,"inclusive, gender and shock-responsive, universal and resilient social protection, social safety-net and basic social services.",,,,,,
,"RELATED UNFPA STRATEGIC PLAN OUTCOME: Every woman, adolescent and youth everywhere, especially those furthest behind, has utilized integrated sexual and",,,,,,
,"reproductive health services and exercised reproductive rights, free of coercion, discrimination and violence",,,,,,
,"UNSDCF outcome indicators,
baselines, targets",Country programme outputs,"Output indicators, baselines and targets",Partner contributions,,Indicative,
,,,,,,resources,
"UNSDCF Outcome indicators:
• Maternal mortality ratio
Baseline: 165 (2019);
Target: 100 (2026)
• Proportion of women of
reproductive age (aged 15-49
years) who have their need for
family planning satisfied with
modern methods
Baseline: 77.4% (2019);
Target: 80% (2026)
• Proportion of deliveries
conducted by skilled birth
attendants
Baseline: 59% (2021);
Target: 72% (2026)",,"Output 1. Updated and improved
legal and policy frameworks,
regulations and compliance,
accountability and data
management systems to strengthen
the health system, to decrease
maternal morbidity and mortality
and to reduce unmet need for
family planning using integrated,
multisectoral and human rights-
based approaches across the
development and humanitarian
continuum","• A national human rights-based family planning
strategy developed and endorsed by the Ministry of
Health and Family Welfare, in line with FP2030
commitments
Baseline: No (2021); Target: Yes (2026)
• Minimum initial service package for reproductive
health is integrated into national humanitarian
preparedness and response plans and endorsed by the
Government
Baseline: No (2021); Target: Yes (2026)
• Sexual and reproductive health indicators,
disaggregated by age, sex and geography are
periodically collected for priority districts through the
national health information system and analysed for
vulnerability
Baseline: No (2021); Target: Yes (2026)","Directorate General of
Health Services;
Directorate General of
Family Planning;
Directorate of Nursing and
Midwifery; Bangladesh
Midwifery Society;
Bangladesh Nursing and
Midwifery Council;
Obstetrical and
Gynaecological Society of
Bangladesh; academic
institutions; civil society
organizations; United
Nations organizations;
nongovernmental
organizations","$6.4 million
($0.7 million
from regular
resources and
$5.7 million
from other
resources)",,
,• Maternal mortality ratio,,,,,,
,Baseline: 165 (2019);,,,,,,
,Target: 100 (2026),,,,,,
,• Proportion of women of,,,,,,
,reproductive age (aged 15-49,,,,,,
,years) who have their need for,,,,,,
,family planning satisfied with,,,,,,
,modern methods,,,,,,
,Baseline: 77.4% (2019);,,,,,,
,Target: 80% (2026),,,,,,
,• Proportion of deliveries,,,,,,
,conducted by skilled birth,,,,,,
,attendants,,,,,,
,Baseline: 59% (2021);,,,,,,
,Target: 72% (2026),,,,,,
,,"Output 2. Improved availability of
high-quality, human rights-based
comprehensive, integrated sexual
and reproductive health
information and services across the
development and humanitarian
continuum, especially for the most
vulnerable and marginalized
women and girls","• Percentage of public health facilities in priority
districts providing midwifery-led high-quality care,
including emergency obstetric and newborn care
Baseline: 7% (2021); Target: 73% (2026)
• Percentage of priority subdistrict health centres in
hard-to-reach areas providing high-quality and
comprehensive voluntary family planning services
Baseline: 14% (2021); Target: 53% (2026)
• Percentage of district and subdistrict hospitals with
medical staff trained to provide survivor-centred
clinical support and referrals to survivors of gender-
based violence
Baseline: 12% (2021); Target: 43% (2026)",,"$38.1 million
($5.8 million
from regular
resources and
$32.3 million
from other
resources)",,
,"NATIONAL PRIORITY: Health, population and nutrition",,,,,,
,"UNSDCF OUTCOME INVOLVING UNFPA: By 2026, people, in particular, the most vulnerable and marginalized, have improved access to and utilization of quality, inclusive,",,,,,,
,"gender and shock-responsive, universal and resilient social protection, social safety-net and basic social services.",,,,,,
,"RELATED UNFPA STRATEGIC PLAN OUTCOME: Every adolescent and youth, in particular adolescent girls, is empowered to have access to sexual and reproductive health",,,,,,
,"and reproductive rights, in all contexts.",,,,,,
