0,1,2,3,4
Fiscal year,Amount (Taka in million),,Growth rate over previous year (%),
,Current,Constant (a),Current,Constant
1996-1997,"48,699","74,392",-,-
1997-1998,"53,602","78,966",10.1,6.1
1998-1999,"59,433","84,554",10.9,7.1
1999-2000,"65,497","91,796",10.2,8.6
2000-2001,"74,193","103,256",13.3,12.5
2001-2002,"82,978","111,652",11.8,8.1
2002-2003,"89,709","115,867",8.1,3.8
2003-2004,"102,229","126,624",14.0,9.3
2004-2005,"117,085","136,075",14.5,7.5
2005-2006,"138,955","152,588",18.7,12.1
2006-2007,"160,899","160,899",15.8,5.4
