0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50+y,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
"Tuberculosis (Extra-
pulmonary)",0,14,5,19,9,8,10,15,157,137,248,275,207,158,636,626
"Tuberculosis
(Pulmonary)",0,0,3,0,1,0,6,19,33,57,180,143,162,85,385,304
Urethritis,0,0,0,0,0,0,0,0,232,192,135,279,115,385,482,856
Urinary stone disease,0,0,0,0,0,0,0,0,49,59,120,113,69,72,238,244
"Urinary tract
Infection",0,0,0,0,0,0,0,0,974,2182,2161,3709,2012,2117,5147,8008
Valvular heart disease,9,204,116,271,207,125,145,58,99,346,503,184,159,1140,1238,2328
Viral fever,64,69,631,661,1620,1412,2272,2103,2940,3055,3382,3632,2241,2659,13150,13591
Whooping cough,0,0,2,1,6,16,3,162,64,176,83,92,22,11,180,458
"Worm infestation
(Intestinal)",0,0,113,552,827,864,967,1467,767,852,881,1463,611,641,4166,5839
Others,3773,4279,7651,8320,12346,15491,19405,25041,30061,76754,45785,97501,36735,40450,155756,267836
