0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50y+,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Abortion,0,0,0,0,0,0,0,0,0,3334,0,3440,0,489,0,7263
Acid burn,0,0,0,0,11,9,21,29,16,37,11,10,1,1,60,86
AIDS/HIV,0,0,0,0,0,0,0,0,15,10,25,37,0,0,40,47
Allergic reaction,0,0,12,10,216,160,153,192,201,248,158,167,61,80,801,857
Anemia,15,18,58,62,449,476,748,698,945,1463,1491,4195,1202,2462,4908,9374
Anal fistula,0,0,0,0,2,1,157,153,203,176,303,247,232,193,897,770
Angina pectoris,0,0,0,0,0,0,0,0,46,96,315,278,494,145,855,519
"Anxiety and depressive
disorders",0,0,0,0,0,0,0,0,325,894,762,1601,881,839,1968,3334
APH,0,0,0,0,0,0,0,0,0,460,0,592,0,213,0,1265
Appendicitis,0,0,0,2,16,32,403,742,771,1456,1086,1198,157,490,2433,3920
Arsenicosis,0,0,9,0,8,6,8,6,71,3,13,50,0,7,109,72
Arthritis,0,0,91,0,4,3,210,189,420,352,668,546,500,530,1893,1620
Assault,0,0,0,0,0,0,131,65,10110,6855,21067,11967,11478,8052,42786,26939
Bacillary dysentery,4,7,114,148,405,407,548,578,462,493,963,886,477,389,2973,2908
Bone tumor,0,0,0,0,0,0,112,115,122,133,140,209,20,0,394,457
Brain tumor,0,0,0,0,0,0,0,0,154,156,194,250,130,124,478,530
Bronchial asthma,3,2,199,172,398,301,751,1045,1867,1905,2897,3200,3988,3887,10103,10512
Bronchiectasis,0,0,0,0,0,0,0,0,384,366,524,509,449,450,1357,1325
Bronchiolitis,165,361,1662,1328,859,627,235,184,46,53,91,118,83,106,3141,2777
Burn (Others),36,2,97,66,496,535,573,725,652,803,814,885,476,542,3144,3558
C.C.F,0,0,0,0,0,0,0,0,100,70,376,230,372,349,848,649
Ca- Cervix,0,0,0,0,0,0,0,0,0,202,0,395,0,303,0,900
Ca-Bladder,0,0,0,0,0,0,0,0,0,18,1,23,9,19,10,60
Ca-Breast,0,0,0,0,0,0,0,0,0,145,0,328,0,170,0,643
Ca-Colon,0,0,0,0,0,0,0,0,1,3,6,5,13,1,20,9
Ca-Gall blodder,0,0,0,0,0,0,0,0,141,145,181,180,205,203,527,528
Ca-Kidney,0,0,0,0,0,0,7,4,21,0,12,10,3,3,43,17
Ca-Larynx,0,0,0,0,0,0,0,0,0,0,1,0,13,6,14,6
Ca-Liver,0,0,1,0,0,0,1,0,8,30,99,45,76,27,185,102
Ca-Lungs,0,0,0,0,1,0,1,22,169,174,224,176,326,257,721,629
Ca-Oesophagus,0,0,0,0,0,0,0,0,0,0,1,1,5,3,6,4
Ca-Oral Cavity,0,0,0,0,24,30,35,39,40,60,75,41,98,72,272,242
Ca-Pancreas,0,0,0,0,0,0,0,0,0,18,2,27,12,8,14,53
Ca-Prostate,0,0,0,0,0,0,0,0,143,0,429,0,223,0,795,0
Ca-Rectum and anal canal,0,0,0,0,0,0,0,0,80,68,103,48,70,36,253,152
Ca-Scrotum,0,0,0,0,0,0,0,0,54,0,186,0,72,0,312,0
Ca-Skin,10,12,15,18,13,16,25,30,25,27,28,33,37,40,153,176
Ca-Stomach,0,0,0,0,30,25,12,10,35,21,33,49,93,31,203,136
Cataract,0,0,0,0,0,0,0,0,48,36,663,652,2508,2617,3219,3305
Ca-Thyroid,0,0,0,0,0,0,0,0,33,25,44,48,147,163,224,236
Cholicystitis,0,0,0,0,0,0,0,0,55,211,283,574,209,346,547,1131
Cholilithiasis,0,0,0,0,0,1,2,14,74,223,226,752,185,368,487,1358
Cirrhosis of liver,0,0,0,0,0,0,0,0,98,158,295,249,345,183,738,590
Congenital heart disease,12,24,26,15,29,41,117,106,116,113,666,403,1040,315,2006,1017
COPD,1,0,40,42,218,83,375,168,810,781,2001,2038,3711,2211,7156,5323
Corneal ulcer,0,0,0,0,0,0,2,1,147,125,460,489,301,230,910,845
CVA,0,0,0,0,0,0,0,0,275,308,1441,1287,3944,2713,5660,4308
Dengue,0,0,0,0,0,0,0,0,0,0,9,10,25,15,34,25
Diabetes mellitus,0,24,338,299,419,198,118,105,192,304,1861,1966,2843,2294,5771,5190
Diarrhoea,758,700,7688,5963,11203,9340,6531,6155,5929,6765,8461,9691,5349,6210,45919,44824
Diptheria,5,3,110,105,191,150,231,155,180,231,233,268,77,111,1027,1023
Disc prolapse,0,0,0,0,1,1,0,0,0,0,6,1,9,4,16,6
Drowning/near-drowning,0,0,45,33,187,147,86,49,34,41,2,29,4,13,358,312
Drug reaction,0,0,0,0,8,8,24,3,32,17,58,43,17,24,139,95
Dysentry,50,53,95,110,421,380,626,565,554,598,742,821,817,844,3305,3371
Ectopic pregnency,0,0,0,0,0,0,0,0,0,263,0,571,0,225,0,1059
Electric shock,0,0,0,0,6,9,88,35,118,118,215,114,76,24,503,300
Emphysema,0,0,0,0,1,1,0,2,0,4,0,3,9,19,10,29
Encephalitis,0,0,0,0,1,1,0,0,197,93,427,386,413,352,1038,832
