0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50+y,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
"Tuberculosis
(Pulmonary)",0,0,0,0,29,49,68,92,159,135,409,268,348,195,1013,739
Bronchial asthma,0,0,0,0,31,40,51,139,310,250,211,201,218,106,821,736
"Tuberculosis (Extra-
pulmonary)",0,0,0,0,16,59,58,75,140,125,324,102,409,135,947,496
COPD,0,0,0,0,0,0,0,0,150,139,286,180,350,205,786,524
Pleural effusion,0,0,0,0,0,0,75,79,78,68,82,83,85,88,320,318
Bronchiolitis,0,0,0,0,5,4,65,21,85,65,145,85,95,30,395,205
Bronchiectasis,0,0,0,0,0,0,0,0,41,32,141,102,140,128,322,262
Ca-Esophagus,0,0,0,0,0,0,0,0,15,17,98,89,142,182,255,288
Ca-Lungs,0,0,0,0,0,0,0,0,42,25,98,35,85,138,225,198
Pneumothorax,0,0,0,0,0,0,0,0,0,0,7,4,25,9,32,13
Pulmonary fibrosis,0,0,0,0,0,0,0,0,0,0,7,4,12,11,19,15
