0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50y+,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
"Drowning/Near
Drowning",0,0,11,5,40,26,13,19,8,16,39,51,175,35,286,152
Drug reaction,0,0,0,0,2,1,5,3,11,18,49,54,30,11,97,87
Dysentery,0,0,0,1,13,16,11,4,24,24,80,53,128,131,256,229
Ectopic pregnancy,0,0,0,0,0,0,0,0,1,119,16,138,17,16,34,273
Electric shock,0,1,0,2,1,2,29,5,44,30,122,43,99,7,295,90
Emphysema,0,0,0,1,8,7,7,7,7,28,60,34,63,28,145,105
Encephalitis,0,0,47,37,148,111,93,91,101,95,257,142,172,119,818,595
Enteric fever,0,0,5,15,127,113,194,181,344,266,615,380,437,297,1722,1252
Epilepsy,0,0,1,0,38,20,61,39,49,75,99,54,86,32,334,220
Fibroid,0,0,0,0,4,4,7,7,0,142,3,308,8,101,22,562
Filariasis,0,0,0,0,1,0,0,18,7,27,32,80,27,16,67,141
Food poisoning,0,0,1,48,51,39,26,26,82,97,119,95,93,39,372,344
Fracture,5,7,17,20,77,79,212,294,639,564,1288,1004,1348,414,3586,2382
Fungal infections,23,35,175,136,281,230,516,950,1509,656,1420,1248,1744,968,5668,4223
Gangrene,0,0,2,1,9,8,25,11,31,27,187,53,193,57,447,157
Glaucoma,0,0,0,0,2,0,200,251,11,4,22,13,36,28,271,296
Glomerulonephritis,0,1,14,10,33,26,121,71,76,68,70,72,64,52,378,300
Gonorrhea,0,0,0,0,0,0,6,6,7,18,26,33,27,44,66,101
Hemolytic jaundice,4,6,0,0,1,0,5,3,43,41,43,32,22,20,118,102
Hemorrhoids (Piles),0,0,0,0,0,10,20,16,70,37,132,42,113,69,335,174
Head injury,1,2,2,13,95,85,203,181,356,218,947,1712,1052,678,2656,2889
Heart failure,0,0,9,7,10,18,2,39,80,176,494,398,667,414,1262,1052
Hepatic failure,0,0,0,0,0,0,1,0,45,63,175,79,201,178,422,320
Hepatitis,0,0,1,1,10,51,52,49,176,336,843,590,334,193,1416,1220
Hernia,0,0,8,3,47,7,59,16,140,27,511,30,475,33,1240,116
Hydrocephalous,0,0,16,6,11,4,1,0,20,6,21,5,43,20,112,41
Hydrocele,0,0,1,0,28,5,18,6,44,31,161,19,150,10,402,71
Hydronephrosis,0,0,5,3,13,9,8,5,12,7,67,25,40,40,145,89
Hypercholesterolemia,0,0,0,0,0,0,1,0,6,2,55,36,65,58,127,96
Hypertension,0,0,0,0,6,5,10,16,72,113,962,744,1226,866,2276,1744
Hyperthyroidism,0,0,1,0,0,0,0,0,5,24,70,99,129,89,205,212
Hypertrophied prostate,0,0,0,0,0,0,0,0,0,2,7,14,96,1,103,17
Hypothyroidism,2,0,0,0,4,0,0,0,3,5,20,41,10,21,39,67
Infective endocarditis,0,0,0,0,0,0,3,0,13,14,25,26,43,12,84,52
Intestinal obstruction,2,2,7,9,24,17,44,33,68,38,226,155,199,129,570,383
Kala-azar,0,0,0,0,0,1,1,15,2,3,15,11,16,15,34,45
Leprosy,0,0,0,0,0,0,0,0,5,2,25,12,25,5,55,19
Leukemia,0,0,0,0,5,53,24,55,70,100,101,113,163,58,363,379
Liver abscess,0,0,0,2,1,1,5,1,17,14,129,45,59,16,211,79
