0,1,2
Name of indicator,,Source
Doctors working in private sector,58%,HRD Data Sheet 2011
Doctors under DGFP,540,
Registered diploma nurses,"26,899",
Estimated no. of nurses available in the country,"15,023",
No. of dental surgeons,"4,165",
No. of family planning officers,546,
No. of assistant family planning officers,"1,440",
No. of registered sanitary inspectors,"1,041",
No. of dental technologists,"1,886",
No. of laboratory technologists,"2,220",
No. of pharmacy technologists,"7,622",
No. radiographers,"1,456",
No. of physical therapists,581,
No. of medical assistants,"7,365",
No. of health assistant (HA),"19,274",
No. of assistant health inspectors,"3,655",
No. of family welfare visitors (Sanctioned),"5,705",
No. of health inspectors (Existing),"1,125",
No. of family planning inspectors (Existing),"4,500",
No. of family welfare assistants (Existing),"23,500",
No. of registered dental surgeons,"3, 913",BMDC 2009
No. of government medical colleges,21,DGHS (ME) 2011
No. of private medical colleges,44,DGHS (ME) 2010
No. of private dental colleges,12,DGHS 2010
No. of private institute of health technology (IHT),52,DGHS (MIS) 2009
No. of personnel under DGHS (Existing),"92,759",DGHS 2011 (June)
No. of doctors under DGHS (Existing),"16, 035",DGHS (MIS) 2011 (June)
No. of registered nurses (as on March 2010),"25,018",BNC 2010 (March)
No. of nurses in public sector (Existing),"13, 473",DNS 2010 (March)
No. registered mid -wives,"23, 472",BNC 2010 (March)
No. of trained skilled birth attendants,"5,159",UNFPA 2009 (Dec)
"Population per physician
(Current population / available registered physicians)","3,269",HRD Data Sheet 2011
"Population per bed
(Hospital beds: under MOHFW + Regd. private hospitals)","1,738",DGHS 2011
