0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50y+,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Abortion,0,0,0,0,0,0,0,4,0,1640,0,1849,0,15,0,3508
Acid burn,0,0,0,0,0,0,1,2,0,1,1,7,0,1,2,11
AIDS/HIV,0,0,0,0,0,0,0,0,2,1,6,4,0,0,8,5
Allergic reaction,0,0,1,1,5,6,10,17,52,49,54,53,28,25,150,151
Anemia,1,2,4,19,68,62,235,134,250,488,808,644,370,286,1736,1635
Anal fistula,0,0,0,0,0,1,4,3,72,140,179,180,107,74,362,398
Angina pectoris,0,0,0,0,0,0,29,14,120,84,536,281,716,464,1401,843
"Anxiety and depressive
disorders",0,0,0,0,0,0,12,13,276,661,555,952,394,271,1237,1897
APH,0,0,0,0,15,9,10,11,14,315,25,373,27,74,91,782
Appendicitis,0,0,2,3,18,12,169,113,705,414,445,298,96,40,1435,880
Arsenicosis,0,0,18,14,7,5,0,0,7,18,10,25,1,15,43,77
Arthritis,0,0,0,0,9,2,20,20,175,92,359,336,326,350,889,800
Assault,0,0,0,0,38,81,379,241,2501,1249,3850,1678,1469,711,8237,3960
Bacillary dysentery,0,0,44,69,135,60,110,97,143,127,591,474,438,327,1461,1154
Bone tumor,0,0,0,0,1,1,22,19,44,57,56,62,55,26,178,165
Brain tumor,0,0,0,0,0,3,6,7,22,9,25,27,22,4,75,50
Bronchiectasis,0,2,32,35,29,29,25,23,10,8,59,30,67,54,222,181
Bronchial asthma,0,1,1,12,66,94,116,196,245,757,786,644,636,344,1850,2048
Bronchiolitis,4,2,527,408,314,244,40,24,63,29,157,47,66,34,1171,788
Burn (Others),0,0,9,15,48,30,98,54,163,115,282,227,138,151,738,592
C.C.F,0,1,2,8,11,12,7,6,18,23,242,213,505,393,785,656
Ca-Breast,0,0,0,0,0,0,0,0,1,12,18,151,12,126,31,289
Ca-Cervix,0,0,1,1,2,2,4,7,7,6,5,119,5,118,24,253
Ca-Bladder,0,0,0,0,0,0,3,1,1,2,7,3,36,12,47,18
Ca-Colon,0,0,0,0,0,0,1,0,6,6,55,29,49,30,111,65
Ca-Gall bladder,0,0,0,0,0,0,8,3,5,0,18,34,88,41,119,78
Ca-Kidney,0,0,0,0,0,0,0,0,0,0,12,13,16,19,28,32
Ca-Larynx,0,0,0,0,0,0,0,0,1,2,56,61,112,53,169,116
Ca-Liver,0,0,0,0,1,1,0,0,1,0,42,26,70,85,114,112
Ca-Lungs,0,0,0,0,0,0,2,0,2,8,70,48,191,69,265,125
Ca-Esophagus,0,0,0,0,0,0,0,0,5,5,42,31,99,55,146,91
Ca-Oral cavity,0,0,0,0,0,0,0,0,1,2,27,11,43,15,71,28
Ca-Pancreas,0,0,0,0,0,0,0,0,0,1,17,3,34,18,51,22
Ca-Prostate,0,0,0,0,0,0,0,0,0,1,6,1,27,1,33,3
Ca-Rectum & anal canal,0,0,0,0,0,0,2,1,34,3,53,31,48,31,137,66
Ca-Scrotum,0,0,4,2,1,1,0,0,0,0,8,2,12,3,25,8
Ca-Skin,2,2,2,1,2,3,1,4,0,0,5,8,10,5,22,23
Ca-Stomach,0,0,0,0,0,0,0,0,2,39,94,89,158,124,254,252
Cataract,0,0,0,0,3,4,410,623,138,179,242,215,251,211,1044,1232
Ca-Thyroid,0,0,0,0,0,0,0,0,0,1,14,18,27,13,41,32
Cholecystitis,0,0,0,0,12,9,6,4,63,64,171,312,153,222,405,611
Cholilithiasis,0,0,0,0,0,1,4,1,28,44,148,304,104,169,284,519
Cirrhosis of liver,0,0,3,2,1,0,7,7,81,34,361,263,340,286,793,592
Congenital heart disease,0,8,37,18,18,18,19,21,55,37,95,52,75,68,299,222
COPD,0,0,1,4,16,22,28,29,73,142,565,364,1165,467,1848,1028
Corneal ulcer,5,2,42,27,33,134,113,214,411,18,46,108,220,199,870,702
CVA,0,0,0,0,0,0,25,16,140,80,947,803,1496,985,2608,1884
Dengue,0,0,0,0,0,0,14,10,15,31,69,45,57,49,155,135
Diabetes mellitus,1,0,41,75,31,41,28,43,64,89,307,634,942,727,1414,1609
Diarrhea,2,2,491,406,536,703,428,706,577,696,1477,637,2827,2306,6338,5456
Diphtheria,0,0,55,74,27,43,22,4,10,7,10,6,2,0,126,134
Disc prolapse,0,0,0,0,0,0,0,0,37,16,96,46,44,42,177,104
