0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50+y,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Abortion,0,0,0,0,0,0,0,0,0,3895,0,7070,0,485,0,11450
Acid burn,0,10,15,46,50,52,78,105,177,290,234,185,101,562,655,1250
AIDS/HIV,0,0,0,0,0,0,0,0,12,19,95,103,59,54,166,176
Allergic reaction,19,18,12,6,66,66,125,125,213,166,283,203,145,160,863,744
Anemia,32,47,91,103,625,647,1153,1566,2126,3479,3345,6178,3278,4715,10650,16735
Anal fistula,1,0,3,11,15,25,36,92,217,123,180,95,134,436,586,782
Angina pectoris,0,0,0,0,0,0,0,0,122,365,578,369,353,466,1053,1200
"Anxiety and
depressive disorders",0,0,0,0,0,0,0,0,1290,2988,1610,4452,965,1647,3865,9087
APH,0,0,0,0,0,0,0,0,0,750,0,1575,0,529,0,2854
Appendicitis,0,0,0,0,90,94,380,808,865,1478,1129,1413,265,318,2729,4111
Arsenicosis,0,0,0,3,10,15,19,30,42,44,62,40,30,95,163,227
Arthritis,0,1,153,300,328,312,337,330,759,734,1162,1102,1133,2371,3872,5150
Assault,0,0,0,0,0,0,0,0,30833,26645,53826,44793,25756,18065,110415,89503
Bacillary dysentery,2,3,117,78,373,437,638,638,978,646,1160,1374,1204,1272,4472,4448
Bone tumor,0,8,15,32,37,40,72,23,79,40,74,6,6,143,283,292
Brain tumor,0,0,0,0,0,0,0,0,100,222,215,259,182,784,497,1265
Bronchial asthma,0,13,195,310,459,456,934,1054,1539,2013,4407,4634,6634,5721,14168,14201
Bronchiectasis,0,0,0,0,0,0,0,0,199,397,379,486,501,1334,1079,2217
Bronchiolitis,100,113,866,659,453,364,204,214,217,240,510,426,479,430,2829,2446
Burn (Others),10,64,64,67,541,461,487,604,513,589,608,643,329,406,2552,2834
C.C.F,0,0,0,0,0,0,0,0,48,87,101,227,308,392,457,706
Ca- Cervix,0,0,0,0,0,0,0,0,0,440,0,573,0,940,0,1953
Ca-Bladder,0,32,20,60,42,36,24,31,46,85,100,52,47,291,279,587
Ca-Breast,0,0,0,0,0,0,0,0,0,15,0,580,0,282,0,877
Ca-Colon,0,42,0,0,0,0,38,0,240,40,47,5,5,117,330,204
Ca-Gall bladder,0,0,0,0,0,90,176,232,475,415,312,303,68,1002,1031,2042
Ca-Kidney,0,5,4,20,18,90,111,200,657,800,712,300,90,1416,1592,2831
Ca-Larynx,0,0,0,20,553,320,43,339,147,165,81,101,102,85,926,1030
Ca-Liver,0,0,0,2,5,20,18,61,68,158,131,87,51,258,273,586
Ca-Lungs,0,0,0,0,1,0,0,0,0,0,16,10,28,9,45,19
Ca-Esophagus,0,0,0,10,20,15,14,16,46,0,7,1,10,44,97,86
Ca-Oral cavity,1,0,4,2,5,9,14,57,139,299,267,187,200,658,630,1212
Ca-Pancreas,0,2,1,10,7,18,17,11,13,16,115,20,70,77,223,154
Ca-Crostate,0,0,0,0,0,0,0,0,72,0,100,0,89,0,261,0
"Ca-Rectum and anal
canal",0,0,0,10,11,22,50,55,66,84,47,49,29,216,203,436
Ca-Scrotum,0,0,0,0,0,0,0,0,70,0,714,0,567,0,1351,0
Ca-Skin,0,0,0,0,5,6,32,39,10,15,100,117,101,154,248,331
