0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Disease/condition,0-28d,,29d-11m,,1-4y,,5-14y,,15-24y,,25-49y,,50+y,,Total,
,M,F,M,F,M,F,M,F,M,F,M,F,M,F,M,F
Hepatic failure,0,0,0,0,0,0,0,0,145,310,286,206,241,725,672,1241
Hepatitis,0,0,0,0,0,0,0,0,315,256,512,401,470,384,1297,1041
Hernia,0,0,1,0,19,7,158,60,159,51,354,80,426,89,1117,287
Hydrocephalous,0,0,0,0,0,15,10,8,8,10,12,10,16,44,46,87
Hydrocele,0,0,0,0,0,0,0,0,235,104,498,317,238,716,971,1137
Hydronephrosis,0,0,0,0,0,0,0,0,31,25,26,60,60,147,117,232
Hypercholesterolemia,0,0,0,0,0,0,0,0,43,29,21,29,32,108,96,166
Hypertension,0,0,0,0,0,0,0,0,668,1062,3636,4530,6516,6462,10820,12054
Hyperthyroidism,0,0,0,0,0,0,0,0,346,77,162,117,84,245,592,439
"Hypertrophied
Prostate",0,0,0,0,0,0,0,0,21,0,3,0,25,0,49,0
Hypothyroidism,0,0,0,8,14,29,14,13,14,16,16,29,16,91,74,186
Infective endocarditis,0,0,0,0,0,0,0,0,305,316,406,271,199,744,910,1331
Intestinal obstruction,1,0,4,1,13,31,122,111,309,265,730,444,264,183,1443,1035
Kala-azar,0,0,6,17,82,121,246,260,389,394,616,267,306,424,1645,1483
Leprosy,0,0,9,8,2,19,30,21,2,11,15,20,3,72,61,151
Leukemia,1,60,30,72,56,25,33,29,11,98,67,86,31,367,229,737
Liver abscess,0,1,0,1,0,1,4,12,21,17,40,31,28,41,93,104
Lymphoma,0,0,0,12,22,34,60,184,170,192,135,39,34,457,421,918
Lymphosarcoma,0,13,17,92,71,51,55,77,117,135,160,92,129,452,549,912
"Malaria (Vivax/
Falciparum)",0,2,53,37,339,298,596,456,828,502,702,475,244,123,2762,1893
Mastoiditis,0,0,0,12,3,64,56,59,101,9,16,14,3,26,179,184
Measles,3,2,65,39,26,31,27,24,61,53,35,42,33,114,250,305
Meningitis,0,6,59,40,83,91,68,76,112,71,86,88,57,78,465,450
Mental retardation,0,0,0,0,0,0,0,0,402,292,546,594,263,1156,1211,2042
Mumps,1,0,5,9,68,161,137,259,215,337,236,206,127,620,789,1592
Myocardial infarction,0,0,120,300,500,426,142,130,388,181,261,219,459,1473,1870,2729
Nasal polyp,0,0,0,0,3,4,0,0,24,13,7,13,1,0,35,30
"Nasopharyngal
carcinoma",1,11,58,145,189,110,129,148,97,225,200,91,110,771,784,1501
Nephrotic syndrome,0,0,3,5,41,51,67,93,70,79,100,45,30,139,311,412
Night blindness,0,21,25,52,16,19,3,10,7,7,26,26,36,48,113,183
Obst. jaundice,4,4,0,3,7,8,15,17,40,119,57,935,70,95,193,1181
Obstructed labour,0,0,0,0,0,0,0,0,0,6928,0,12034,0,1592,0,20554
Orchitis,0,0,0,0,0,0,0,0,88,0,117,0,72,0,277,0
Osteomyelitis,0,0,2,2,1,24,18,36,66,53,25,22,30,122,142,259
Osteosarcoma,0,43,59,86,97,102,90,162,133,217,161,161,91,770,631,1541
Ovarian tumor,0,0,0,0,0,0,0,0,0,86,0,128,0,61,0,275
Pancreatitis,0,0,3,12,6,5,0,4,126,1,134,27,10,3,279,52
"Pelvic infectious
Disease",0,0,0,0,0,0,0,0,0,902,0,1598,0,547,0,3047
