0,1,2,3,4,5,6,7,8,9
Process Indicator,,"Medical
college
hospital","District
hospital","Upazila
health
complex","Maternal
and child
welfare
center",NGO,"Private
clinic/
hospital",Other,Total
"Visit for ANC service
(N)",No.,121029,145994,492604,256954,191795,303722,4322,1516420
,%,7.98,9.63,32.48,16.94,12.65,20.03,0.29,100
Admitted patients (N),No.,122983,142161,214852,50253,40531,192114,4079,766973
,%,16.03,18.54,28.01,6.55,5.28,25.05,0.53,100
Complications (N),No.,51875,56812,56530,6696,4814,66314,789,243830
,%,21.28,23.30,23.18,2.75,1.97,27.20,0.32,100
Normal delivery (N),No.,38047,49025,123005,33388,23028,51250,2483,320226
,%,11.88,15.31,38.41,10.43,7.19,16.00,0.78,100
"Forceps/Vacuum/Dest
ructive operation (N)",No.,973,252,1441,251,269,821,0,4007
,%,24.28,6.29,35.96,6.26,6.71,20.49,0.00,100
"Vaginal breech/Face
delivery (N)",No.,868,676,626,438,261,934,7,3810
,%,22.78,17.74,16.43,11.50,6.85,24.51,0.18,100
Cesarean section (N),No.,40727,28602,19999,9936,12256,118938,211,230669
,%,17.66,12.40,8.67,4.31,5.31,51.56,0.09,100
Total deliveries (N),No.,80615,78555,145071,44013,35814,171943,2701,558712
,%,14.43,14.06,25.97,7.88,6.41,30.77,0.48,100
Livebirth (N),No.,76812,75388,141197,43758,35282,171150,2646,546233
,%,14.06,13.80,25.85,8.01,6.46,31.33,0.48,100
Stillbirth (N),No.,5048,4526,4680,583,865,2060,100,17862
,%,28.26,25.34,26.20,3.26,4.84,11.53,0.56,100
