0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Procedure,,Jan,,Feb,Mar,,Apr,May,,June,July,Aug,Sep,Oct,Nov,Dec
Para,centesis,05,,06,04,,06,04,,07,04,11,05,08,02,05
"Bed
dres","sore
sing",08,,03,02,,01,03,,02,05,01,02,02,01,04
Wound dressing,,02,,02,06,,02,04,,07,14,09,08,10,02,05
"Foley
catheterization",,03,,1,-,,02,04,,01,01,02,02,03,01,02
"Decompression
(Machine)",,-,,-,01,,03,05,,02,01,-,01,02,-,01
Enema simplex,,,-,-,01,,04,,02,-,01,-,02,04,01,02
NG,tube feeding,,-,01,,-,02,,-,04,03,-,01,02,01,01
NG,tube suction,-,,02,,-,03,04,,02,01,-,-,01,01,02
Mag,got dressing,-,,01,,-,-,02,,01,02,-,01,02,-,01
"Breast wound
dressing",,02,,01,-,,04,08,,04,03,04,05,04,03,05
"Lym
dres","phedema
sing",-,,-,,-,-,-,,-,-,02,02,02,12,17
