0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
,Khulna Division,,,,,,,,,,,,,,,,,,,,,,,
35,,Bagerhat,,"1,592,358",,,"1,615,925",,,"1,639,492",,,"1,663,059",,,"1,686,626",,,"1,711,925",,,"1,737,604",,
36,,Chuadanga,,"1,055,238",,,"1,070,856",,,"1,086,473",,,"1,102,091",,,"1,117,708",,,"1,134,474",,,"1,151,491",,
37,,Jessore,,"2,592,670",,,"2,631,042",,,"2,669,413",,,"2,707,785",,,"2,746,156",,,"2,787,348",,,"2,829,159",,
38,,Jhenardha,,"1,646,548",,,"1,670,917",,,"1,695,286",,,"1,719,655",,,"1,744,024",,,"1,770,184",,,"1,796,737",,
39,,Khulna,,"2,475,365",,,"2,512,000",,,"2,548,636",,,"2,585,271",,,"2,621,907",,,"2,661,236",,,"2,701,154",,
40,,Kustia,,"1,823,881",,,"1,850,874",,,"1,877,868",,,"1,904,861",,,"1,931,855",,,"1,960,833",,,"1,990,245",,
41,,Magura,,"862,768",,,"875,537",,,"888,306",,,"901,075",,,"913,844",,,"927,552",,,"941,465",,
42,,Meherpur,,"616,883",,,"626,013",,,"635,143",,,"644,273",,,"653,402",,,"663,203",,,"673,151",,
43,,Narail,,"729,506",,,"740,303",,,"751,099",,,"761,896",,,"772,693",,,"784,283",,,"796,048",,
44,,Shatkhira,,"1,937,007",,,"1,965,675",,,"1,994,342",,,"2,023,010",,,"2,051,678",,,"2,082,453",,,"2,113,690",,
Division-Total,,,,"15,332,224",,,"15,559,141",,,"15,786,058",,,"16,012,975",,,"16,239,892",,,"16,483,490",,,"16,730,743",,
,Rajshahi Division,,,,,,,,,,,,,,,,,,,,,,,
45,,Bogra,,"3,165,567",,,"3,212,417",,,"3,259,268",,,"3,306,118",,,"3,352,969",,,"3,403,264",,,"3,454,312",,
46,,Dinajpur,,"2,772,459",,,"2,813,491",,,"2,854,524",,,"2,895,556",,,"2,936,589",,,"2,980,638",,,"3,025,347",,
47,,Gaibandha,,"2,235,759",,,"2,268,848",,,"2,301,937",,,"2,335,027",,,"2,368,116",,,"2,403,638",,,"2,439,692",,
48,,Joupurhat,,"899,217",,,"912,525",,,"925,834",,,"939,142",,,"952,451",,,"966,738",,,"981,239",,
49,,Kurigram,,"1,850,713",,,"1,878,104",,,"1,905,494",,,"1,932,885",,,"1,960,275",,,"1,989,679",,,"2,019,524",,
50,,Lalmonir-hat,,"1,159,357",,,"1,176,515",,,"1,193,674",,,"1,210,832",,,"1,227,991",,,"1,246,411",,,"1,265,107",,
51,,Naogoan,,"2,504,718",,,"2,541,788",,,"2,578,858",,,"2,615,927",,,"2,652,997",,,"2,692,792",,,"2,733,184",,
52,,Natore,,"1,592,547",,,"1,616,117",,,"1,639,686",,,"1,663,256",,,"1,686,826",,,"1,712,128",,,"1,737,810",,
53,,Nawabgonj,,"1,492,543",,,"1,514,633",,,"1,536,722",,,"1,558,812",,,"1,580,902",,,"1,604,616",,,"1,628,685",,
54,,Nilphamary,,"1,639,956",,,"1,664,227",,,"1,688,499",,,"1,712,770",,,"1,737,041",,,"1,763,097",,,"1,789,543",,
55,,Pabna,,"2,272,775",,,"2,306,412",,,"2,340,049",,,"2,373,686",,,"2,407,323",,,"2,443,433",,,"2,480,084",,
56,,Panchgar,,"879,711",,,"892,731",,,"905,750",,,"918,770",,,"931,790",,,"945,767",,,"959,953",,
57,,Rajshahi,,"2,387,602",,,"2,422,939",,,"2,458,275",,,"2,493,612",,,"2,528,948",,,"2,566,882",,,"2,605,385",,
58,,Rangpur,,"2,652,908",,,"2,692,171",,,"2,731,434",,,"2,770,697",,,"2,809,960",,,"2,852,109",,,"2,894,891",,
59,,Sherajgonj,,"2,806,178",,,"2,847,709",,,"2,889,241",,,"2,930,772",,,"2,972,304",,,"3,016,889",,,"3,062,142",,
60,,Thakur-goan,,"1,275,150",,,"1,294,022",,,"1,312,894",,,"1,331,767",,,"1,350,639",,,"1,370,899",,,"1,391,462",,
Division-Total,,,,"31,587,160",,,"32,054,650",,,"32,522,140",,,"32,989,630",,,"33,457,120",,,"33,958,977",,,"34,468,361",,
,Sylhet Division,,,,,,,,,,,,,,,,,,,,,,,
"61
62",,Habigonj,,"1,837,339",,,"1,864,532",,,"1,891,724",,,"1,918,917",,,"1,946,109",,,"1,975,301",,,"2,004,930",,
,,"Moulavi
Bazar",,"1,688,981",,,"1,713,978",,,"1,738,975",,,"1,763,972",,,"1,788,969",,,"1,815,804",,,"1,843,041",,
63,,Sunamgonj,,"2,089,480",,,"2,120,404",,,"2,151,329",,,"2,182,253",,,"2,213,177",,,"2,246,375",,,"2,280,070",,
64,,Sylhet,,"2,674,177",,,"2,713,755",,,"2,753,333",,,"2,792,910",,,"2,832,488",,,"2,874,975",,,"2,918,100",,
,Division-Total,,,,"8,289,977",,,"8,412,669",,,"8,535,360",,,"8,658,052",,,"8,780,744",,,"8,912,455",,,"9,046,142",
,Country-Total,,,,"130,018,908",,,"131,943,188",,,"133,867,468",,,"135,791,748",,,"137,716,027",,,"139,781,767",,,"141,878,494",
