0,1,2,3,4,5,6,7,8
,Primary site,,,Frequency,,,Percent,
"Lip, oral cavity, pharynx",,,755,,,10.9,,
Digestive organ,,,1442,,,20.8,,
Respiratory system and intra-thoracic organs,,,1535,,,22.2,,
Hematopoietic and reticulo-endothelial system,,,34,,,0.5,,
Peripheral nerve and autonomic nervous system,,,2,,,0.0,,
Retroperitoneal and peritoneum,,,13,,,0.2,,
"Connective, subcutaneou s and other soft tissue",,,63,,,0.9,,
Female genital organs,,,836,,,12.1,,
Breast,,,881,,,12.7,,
Male genital organs,,,147,,,2.1,,
Urinary tract,,,153,,,2.2,,
Thyroid and other endocrine glands,,,57,,,0.8,,
Other ill-defined sites,,,50,,,0.7,,
Unknown primary site,,,94,,,1.4,,
Lymph nodes,,,577,,,8.3,,
"Bones, joints and articular cartilage",,,70,,,1.0,,
Skin,,,72,,,1.0,,
"Eye, brainand other parts of CNS",,,145,,,2.1,,
,Total :,,,6926,,,100.0,
