0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
,Sl.,,,,,,,,,M,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,,F,,,M,,F,,,M,,,F,
,,,,ICD-10,,,Disease Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,No.,,,,,,,,,<7 days,,,,,<28 days,,,,,,<1 year,,,,,,1-4 year,,,,,,5-14 y,,,,,,15-49 y,,,,,,50-59 y,,,,,60+ y,,,,
17,,,I10-15,,,"Hypertension
heart diseas e",,,2,,2,,,0,,,0,,,1,,,0,,,0,,,0,,,1,,,2,,,43,,,49,,,42,,,33,,118,,,,87,
18,,,R10,,,"Abdominal and
pelvic pa in",,,3,,1,,,3,,,,,,7,,,2,,,6,,,6,,,11,,,6,,,75,,,54,,,42,,,12,,90,,,,32,
19,,,D64,,,Anaemia s,,,5,,2,,,1,,,1,,,8,,,12,,,13,,,11,,,19,,,13,,,45,,,126,,,19,,,9,,27,,,,23,
20,,,O00-85,,,"Eclampsia and
pregnancy
disorder s",,,2,,4,,,0,,,1,,,1,,,3,,,1,,,0,,,1,,,0,,,4,,,296,,,0,,,4,,2,,,,7,
21,,,R57,,,"Shock, not
elsewhere
classifie d",,,1,,,,,,,,1,,,,,,1,,,,,,,,,3,,,2,,,57,,,82,,,32,,,24,,65,,,,45,
22,,,B50,,,"Plasmodium
falciparum
malaria",,,,,,,,,,,,,,4,,,2,,,17,,,18,,,29,,,30,,,64,,,49,,,13,,,8,,11,,,,10,
23,,,A33-35,,,Tetanus a ll,,,21,,12,,,15,,,7,,,1,,,1,,,5,,,5,,,26,,,5,,,69,,,20,,,16,,,5,,24,,,,16,
24,,,R56,,,"Convulsions, not
elsewhere
classifie d",,,13,,3,,,3,,,3,,,12,,,9,,,23,,,23,,,13,,,18,,,14,,,21,,,8,,,2,,36,,,,24,
25,,,R17-18,,,"Unspecified
jaundic e",,,16,,5,,,1,,,2,,,2,,,2,,,3,,,4,,,8,,,8,,,67,,,43,,,15,,,5,,24,,,,8,
26,,,R40,,,"Somnolence,
stupor and com a",,,,,,,,,,,,,,1,,,2,,,1,,,1,,,8,,,3,,,40,,,31,,,16,,,8,,42,,,,21,
27,,,J82,,,"Pulmonary
eosinophilia, not
elsewhere
clssifie d",,,,,,,,,,,,,,1,,,1,,,,,,,,,1,,,2,,,18,,,4,,,28,,,10,,87,,,,21,
28,,,K55-59,,,"Intestinal
disorder s",,,5,,2,,,1,,,1,,,1,,,5,,,1,,,4,,,6,,,4,,,45,,,24,,,17,,,2,,28,,,,14,
29,,,B55,,,Leishmanias is,,,,,1,,,,,,,,,4,,,2,,,12,,,9,,,18,,,7,,,33,,,29,,,8,,,3,,4,,,,3,
30,,,C15-77,,,"Malignant
neoplasm (A ll)",,,0,,1,,,1,,,0,,,1,,,0,,,0,,,0,,,1,,,2,,,30,,,14,,,20,,,7,,41,,,,15,
31,,,T20-22,,,"Burn and
corrosio n",,,1,,0,,,0,,,0,,,4,,,4,,,5,,,11,,,4,,,7,,,16,,,41,,,6,,,3,,4,,,,20,
32,,,A15-18,,,"Tuberculosis of
all organ s",,,0,,0,,,0,,,0,,,1,,,0,,,2,,,1,,,2,,,2,,,38,,,16,,,8,,,7,,23,,,,2,
33,,,R07,,,"Pain in throat
and ches t",,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,25,,,17,,,12,,,2,,32,,,,10,
34,,,E40-46,,,Malnutritio n,,,0,,0,,,2,,,1,,,12,,,5,,,6,,,9,,,2,,,2,,,5,,,15,,,7,,,3,,19,,,,8,
35,,,P36,,,"Bacterial sepsis
of newbor n",,,26,,28,,,11,,,9,,,1,,,3,,,2,,,,,,1,,,,,,2,,,3,,,,,,,,,,,,,
36,,,N04-45,,,"Renal failure
and renal
disease s",,,2,,2,,,0,,,1,,,3,,,4,,,3,,,1,,,10,,,4,,,10,,,14,,,3,,,3,,18,,,,4,
37,,,R06,,,"Abnormalities of
breathin g",,,1,,,,,,,,,,,,,,1,,,1,,,1,,,2,,,2,,,18,,,12,,,9,,,3,,20,,,,5,
38,,,K27,,,"Peptic ulcer, site
unspecifie d",,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,23,,,11,,,6,,,2,,11,,,,1,
