0,1,2,3,4,5
,,,,No. of doctors,
,No. of affected,No. of affected,No. of medical,,No. of additional
District,,,,working from,
,upazila,unions,teams,,doctors dep loyed
,,,,before SIDR,
,,,,,
Barisal Division,,,,,
Barisal,10,85,49,94,9
Patuakhali,7,68,68,63,8
Perojpur,7,51,51,53,6
Bhola,7,62,63,56,7
Barguna,5,38,45,30,6
Jhalokhathi,4,32,10,32,5
Sub -total,40,336,286,328,41
Khulna Division,,,,,
Khulna,5,16,11,120,0
Bagerhat,9,78,36,72,12
Satkhira,3,8,8,79,0
Sub -total,17,102,55,271,12
Total,57,438,341,599,53
