0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
,,,,Admission (N),,,,,,,,,Deaths (N),,,,,,,,,Hospital death,
,District,,,,,,,,,,,,,,,,,,,,,,
,,,,M,,,F,,,Total,,,M,,,F,,,Total,,,rate (%),
,,,,,,,,,,,,,,,,,,,,,,,
Naogan,,,9720,,,6360,,,16080,,,276,,,132,,,408,,,2.63,,
Ch.Nawbgan j,,,8193,,,10131,,,18324,,,183,,,177,,,360,,,2.00,,
Meherpu r,,,3502,,,4742,,,8244,,,106,,,106,,,212,,,2.63,,
Chuadanga,,,6438,,,11848,,,18286,,,240,,,264,,,504,,,2.87,,
Jhenaidah,,,6547,,,9463,,,16010,,,243,,,312,,,555,,,3.04,,
Magura,,,11511,,,12192,,,23703,,,336,,,177,,,513,,,2.30,,
Narai l,,,2752,,,4024,,,6776,,,55,,,115,,,170,,,2.71,,
Satkhira,,,4794,,,6260,,,11054,,,224,,,240,,,464,,,4.02,,
Bagerha t,,,3400,,,5538,,,8938,,,132,,,96,,,228,,,2.38,,
Pirojpur,,,3672,,,3612,,,7284,,,108,,,72,,,180,,,0.00,,
Jhalokath i,,,3798,,,4100,,,7898,,,52,,,28,,,80,,,1.02,,
Barguna,,,4752,,,5280,,,10032,,,104,,,82,,,186,,,1.91,,
Bhola,,,5710,,,7122,,,12832,,,156,,,244,,,400,,,3.61,,
Shariatpu r,,,2361,,,3830,,,6191,,,57,,,69,,,126,,,2.16,,
Madaripu r,,,3540,,,6624,,,10164,,,75,,,69,,,144,,,0.00,,
Gopalgan j,,,7156,,,8476,,,15632,,,240,,,458,,,698,,,7.91,,
Faridpu r,,,5464,,,6658,,,12122,,,114,,,106,,,220,,,1.85,,
Manikgan j,,,6358,,,7630,,,13988,,,242,,,188,,,430,,,3.22,,
Munshign j,,,3420,,,3352,,,6772,,,48,,,36,,,84,,,1.38,,
Narayangon j,,,3876,,,4288,,,8164,,,10,,,10,,,20,,,0.24,,
Gazipur,,,3088,,,6954,,,10042,,,66,,,64,,,130,,,1.47,,
Tangail,,,8658,,,20336,,,28994,,,334,,,700,,,1034,,,3.63,,
Kishoregan j,,,7396,,,13136,,,20532,,,288,,,252,,,540,,,2.40,,
Netrokona,,,6246,,,7804,,,14050,,,144,,,98,,,242,,,1.78,,
M.Baza r,,,8460,,,9072,,,17532,,,156,,,120,,,276,,,1.60,,
Hobigan j,,,5840,,,11478,,,17318,,,212,,,796,,,1008,,,6.12,,
B. Baria,,,8656,,,7950,,,16606,,,452,,,280,,,732,,,4.64,,
Comilla,,,4590,,,4416,,,9006,,,184,,,118,,,302,,,3.28,,
Laxmipu r,,,4328,,,4418,,,8746,,,158,,,128,,,286,,,3.63,,
Feni,,,7798,,,17186,,,24984,,,272,,,430,,,702,,,3.14,,
Rangamat i,,,3446,,,2896,,,6342,,,68,,,68,,,136,,,2.19,,
Bandarban,,,2238,,,2902,,,5140,,,20,,,56,,,76,,,1.64,,
Cox's Baza r,,,10086,,,10952,,,21038,,,460,,,462,,,922,,,4.42,,
Sherpur,,,8220,,,86667,,,94887,,,291,,,223,,,514,,,3.14,,
Total,,,,326807,,,500936,,,827743,,,11413,,,10557,,,21970,,,3.08,
