0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
"n
o
is
iv
iD",District,2019,,,,,,,,2020 (Up to Septembe r),,,,,,,
,,"s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k
a s
e a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#","s
k
a
e
r
b
tu
o
d
e
ta
g
it
s
e
v
n
I
#","s
k
a
e
r
b
tu
o
s
e
ls
a
e
M
#","k
a
e
r
b
tu
o
a
lle
b
u
R
#","s
k
a
e
r
b
tu
o
d
e
x
iM
#","s
k
a
e
r
b
tu
o
d
e
n
ife
d
n
U
#","s
k
a
e
r
b
tu
o
d
e
d
r
a
c
s
iD
#","s
g
n n
id o
n ita
e
p c
ifis
s
k
a s
e a
r lc
b
tu r o
O f
#","s
k
a
e
r
b
tu
o
n
i
s
h
ta
e
D
#"
"h
g
n
is
n
e
m
y
M",Jamalpur,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mymensingh,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Mymensingh CC,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Netrokona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sherpur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Mymensingh,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"ih
a
h
s
ja
R",Bogra,3,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0
,Joypurhat,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
,Naogaon,12,2,0,0,2,8,0,0,4,1,0,0,0,2,1,0
,Natore,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,Nowabganj,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
,Pabna,5,1,0,0,2,2,0,0,5,0,0,0,1,4,0,0
,Rajshahi,5,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0
,Rajshahi CC,2,0,0,0,2,0,0,0,4,0,0,0,0,4,0,0
,Sirajganj,11,3,0,1,2,5,0,0,7,2,0,0,0,2,3,0
,Rajshahi,44,6,0,3,10,25,0,0,23,4,0,0,1,14,4,0
"r
u
p
g
n
a
R",Dinajpur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Gaibandha,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
,Kurigram,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Lalmonirhat,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
,Nilphamari,6,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0
,Panchagarh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Rangpur,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
,Rangpur CC,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,Thakurgaon,6,2,0,0,1,3,0,0,1,0,0,0,0,0,1,0
,Rangpur,18,2,0,2,3,11,0,0,2,0,0,0,0,0,2,0
"t
e
h
ly
S",Habiganj,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
,Moulvi Bazar,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Sunamganj,4,2,0,0,1,1,0,0,1,0,0,0,0,0,1,0
,Sylhet,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
,Sylhet CC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Sylhet,14,9,0,0,3,2,0,0,2,0,0,0,0,1,1,0
Grand Total,,192,82,0,9,29,70,2,3,64,15,0,0,2,21,26,10
