0,1,2,3,4
"Sl.
no.","Code
no.",Name of college,Seats,Estd.
23,63,"IBN Sina Medical College, H # 48, Rd # 9/A, Satmoshjid Rd,
Dhanmondi, Dhaka",65,2005
24,64,"Central Medical College, Comilla Tower, Laksham Road, Comilla",75,2005
25,65,"Eastern Medical College, Race Course, Comilla",105,2005
26,66,"Khawja Eunus Medical College, Enayetpur, Sirajganj",95,2005
27,67,"Chottogram, Ma O Shishu Medical College, Agrabad,
Chottogram 4100.",110,2006
28,68,"Sylhet Women Medical College, Mirbox Tolla, Sylhet",100,2006
29,69,"Nightingale Medical College, Ashulia, Sarker Market, Dhaka",85,2006
30,70,"Southern Medical College, Mozaffor Ahmed Chy Rd., East
Nasirabad, Chittagong",95,2006
31,71,"Northern International Medical College, House # 81, Rd # 7,
Dhanmondi, Dhaka",75,2006
32,72,"Uttara Adhunik Medical College, Uttara, Dhaka",90,2007
33,73,"Delta Medical College, Mirpur, Dhaka",90,2008
34,74,"Ad-Din Women Medical College,2 Bora Moghbazar, Dhaka",90,2008
35,75,"Dhaka Community Medical College, 190/Boro Moghbazar,
Dhaka",100,2008
36,76,TMSS Medical College. Bogra,130,2008
37,77,"Anwer Khan Modern Medical College, Dhanmandi, Dhaka",120,2008
38,78,"Prime Medical College, Pirjabad, Rangpur",125,2008
39,79,"Rangpur Community Hospital Medical College, Medical East
Gate, Rangpur",125,2008
40,80,"Northern Private Medical College, Dhap, Chiklibata Burirhat
Road, Rangpur",70,2006
41,81,"Faridpur Diabetic Association Medical College, Ziltuli, Faridpur",80,2010
42,82,"Green Life Medical College, Dhanmondi, Dhaka",100,2010
43,83,"Popular Medical College, Road-02, House-25, Dhanmondi,
Dhaka",90,2010
44,84,"MH Shamarita Medical College, 113 Tejgaon, Love Road, Dhaka
1208",110,2011
45,85,"Moonno Medical College, Manikganj",80,2011
46,86,"Central International Medical College, 2/1 Ring Road, Shyamoli,
Dhaka",90,2011
47,87,"Dr. Sirajul Islam Medical College, Moghbazar, Dhaka",95,2011
48,88,"Marks Medical College, Mirpur, Dhaka",70,2011
49,89,"Moinamoti Medical College, Baro Para, Comilla",100,2012
50,90,"Ad-Din-Sakina Medical College, 15, Rail Road, Jessore",65,2012
51,91,"Gazi Medical College, Sonadanga, Khulna",90,2012
52,92,"Barind Medical College, Sher sha Road, Laksumpur, Rajshahi",100,2012
53,93,"City Medical College, Eta Hata, Block-B, Tangail Road, Gazipur",80,2012
