0,1,2,3
"Table. 9.4. Targets for the 7th FYP in health, nutrition and population sector",,,
"Sl.
No.","Indicator
Impact/Outcome","Base year’s information
(source with year)","7th FYP target
FY 2020"
1.,Life-expectancy at birth,72.22 (World Bank 2015),72
2.,Total fertility rate (children per women),2.13 (World Bank 2015),2.0
3.,"Under-5 mortality rate (per 1,000 livebirths)",46 (BDHS 2014),37
4.,"Infant mortality rate (per 1,000 livebirths)",38 (BDHS 2014),20
5.,"Maternal mortality ratio (per 100,000
livebirths)",176 (World Bank 2015),105
6.,"Proportion of underweight among under-five
children (%)",32.6 (BDHS 2014),20
7.,"Proportion of stunting among under-five
children (%)",36.1 9 (BDHS 2014),25
,Output,,
8.,"Proportion of births attended medically-
trained care providers (%)",42.1 (BDHS 2014),65
9.,Contraceptive prevalence rate (%),62.4 (BDHS 2014),75
10.,"Proportion of children fully-vaccinated by 12
months (%)",78 (BDHS 2014),75
11.,"Proportion of births in health facilities by
wealth quintile (ratio of the lowest and the
highest quintile)",15:69.5 (BDHS 2014),1:3.5
12.,TB case detection rate (%),53 (GTR 2014),75
Source: Ministry of Health and Family Welfare,,,
