0,1,2,3,4
"Sl.
no",Name of facility,"No. of
sanctioned
beds","Average
length of
stay","Bed-
occupancy
rate"
1,Abhoynagar Upazila Health Complex,50,2,105.8
2,Adamdighi Upazila Health Complex,50,2.1,55.8
3,Aditmari Upazila Health Complex,31,2.9,62.5
4,"Agailjhara Upazila Health Complex, Barisal",50,3.3,65.6
5,Akhaura Upazila Health Complex,31,2.2,91.3
6,Akkelpur Upazila Health Complex,50,2,65.4
7,Alamdanga Upazila Health Complex,31,2.8,135.1
8,Alfadanga Upazila Health Complex,50,3.6,63.8
9,Alikadam Upazila Health Complex,31,1.9,57.4
10,Amtali Upazila Health Complex,50,2.2,53.8
11,Anwara Upazila Health Complex,50,2.1,93.5
12,Araihazar Upazila Health Complex,31,3.3,82.6
13,Assasuni Upazila Health Complex,31,3.3,71.9
14,Atghoria Upazila Health Complex,31,2.4,86.4
15,Atpara Upazila Health Complex,50,4,43.3
16,Atrai Upazila Health Complex,31,1.9,66.4
17,Atwari Upazila Health Complex,50,2,77.2
18,Austagram Upazila Health Complex,50,2.1,42.4
19,Azmiriganj Upazila Health Complex,31,1.5,54.3
20,"Babuganj Upazila Health Complex, Barisal",31,7.1,54.8
21,Badalgachi Upazila Health Complex,50,2.1,37.7
22,Badarganj Upazila Health Complex,31,1.9,146
23,Bagatipara Upazila Health Complex,31,2.3,68.7
24,Bagerpara Upazila Health Complex,50,2.7,86.2
25,Bagha Upazila Health Complex,50,3.1,87.7
26,Baghaichari Upazila Health Complex,31,2,35.5
27,Bagmara Upazila Health Complex,50,2.3,61.9
28,Bahubal Upazila Health Complex,31,2.5,144.5
29,Bajitpur Upazila Health Complex,31,1,103.5
30,"Bakerganj Upazila Health Complex, Barisal",31,2.3,87.9
31,Bakshiganj Upazila Health Complex,31,2.4,118.4
32,Balaganj Upazila Health Complex,31,2.1,39.8
33,Baliadangi Upazila Health Complex,50,2.5,77.5
34,Baliakandi Upazila Health Complex,31,3.1,97.5
35,Bamna Upazila Health Complex,31,3.5,58.4
36,Banaripara Upazila Health Complex,31,1.8,85.4
