0,1,2,3
Table 5.17. Number of seats available in the government medical and dental colleges in 2017,,,
"Serial
no.",Type and name of colleges,"Year of
establishment","No. of seats
as of 2017"
Medical colleges,,,
1,"Dhaka Medical College, Dhaka",1948,197
2,"Mymensingh Medical College, Mymensingh",1962,197
3,"Chittagong Medical College, Chittagong",1962,197
4,"Rajshahi Medical College, Rajshahi",1962,197
5,"MAG Osmani Medical College, Sylhet",1966,197
6,"Sher-e-Bangla Medical College, Barisal",1968,197
7,"Rangpur Medical College, Rangpur",1972,197
8,"Sir Salimullah Medical College, Mitford, Dhaka",1972,197
9,"Comilla Medical College, Comilla",1992,141
10,"Khulna Medical College, Khulna",1992,141
11,"Shaheed Ziaur Rahman Medical College, Bogra",1992,141
12,"Faridpur Medical College, Faridpur",1992,141
13,"M Abdur Rahim Medical College, Dinajpur",1992,142
14,"Shaheed Suhrawardy Medical College, Sher-e-Bangla Nagar, Dhaka",2005,142
15,"Pabna Medical College, Pabna",2008,57
16,"Abdul Malek Ukil Medical College, Noakhali",2008,57
17,"Cox’s Bazar Medical College, Cox’s Bazar",2008,57
18,"Jessore Medical College, Jessore",2010,57
19,"Satkhira Medical College, Satkhira",2011,52
20,"Shaheed Syed Nazrul Islam Medical College, Kishoreganj",2011,52
21,"Kushtia Medical College, Kushtia",2011,52
22,"Sheikh Shahera Khatun Medical College, Gopalganj",2011,52
23,"Shaheed Taj Uddin Ahmed Medical College, Gazipur",2013,52
24,"Tangail Medical College, Tangail",2014,51
25,"Shaheed M Monsur Ali Medical College, Sirajganj",2014,51
26,"Manikganj Medical College, Manikganj",2014,51
27,"Jamalpur Medical College, Jamalpur",2014,51
28,"Patuakhali Medical College, Patuakhali",2014,51
29,"Rangamati Medical College, Rangamati",2014,51
30,"Mugda Medical College, Dhaka",2015,50
31,"Habiganj Medical College, Habiganj",2017,52
,Total,,3320
Dental colleges,,,
1,"Dhaka Dental College, Mirpur 14, Dhaka",1960,97
2,"Chittagong Medical College Dental Unit, Chittagong",1990,60
3,"Rajshahi Medical College Dental Unit, Rajshahi",1989,59
5,"Shahid Suhrawardy Medical College Dental Unit, Dhaka",2012,56
4,"Sir Salimullah Medical College Dental Unit, Dhaka",2012,52
6,"Mymensingh Medical College Dental Unit, Mymensingh",2012,52
7,"MAG Osmani Medical College Dental Unit, Sylhet",2012,52
8,"Sher-e-Bangla Medical College Dental Unit, Barisal",2012,52
9,"Rangpur Medical College Dental Unit, Rangpur",2012,52
,Total,,532
Annex to the Chapter provides lists of all public and private colleges with available seats.,,,
