0,1,2,3,4
"Sl.
no.",Name of medical college hospital,"No. of
sanctioned
beds","Average
length of
stay","Bed-
occupancy
rate"
1,"Chittagong Medical College Hospital, Chittagong","1,313",4.9,158.9
2,"Comilla Medical College Hospital, Comilla",500,4.7,145.2
4,"Dhaka Medical College Hospital, Dhaka","2,600",7.7,129
5,"Faridpur Medical College Hospital, Faridpur",500,3.8,104.6
6,"Khulna Medical College Hospital, Khulna",500,6.1,139.1
7,"M Abdur Rahim Medical College Hospital, Dinajpur",500,4.5,106.3
8,"MAG Osmani Medical College Hospital, Sylhet",900,4.4,205.5
9,"Mymensingh Medical College Hospital,
Mymenshingh","1,000",4.2,204.4
10,"Rajshahi Medical College Hospital, Rajshahi","1,200",7,213.6
11,"Rangpur Medical College Hospital, Rangpur","1,000",5.4,154.4
12,"Shaheed Suhrawardy Medical College Hospital,
Dhaka",850,6.4,129.7
13,"Shahid Ziaur Rahman Medical College Hospital,
Bogra",500,5,165.8
14,"Sher-e-Bangla Medical College Hospital, Barisal","1,000",4.8,146.7
15,"Sir Salimullh Medical College Hospital, Mitford,
Dhaka",600,5.1,135
,Total,"12,963",5.29,152.7
