0,1,2,3
SI. no.,Division,Name of MATS,No. of seats
1,Chittagong,"Medical Assistant Training School, Comilla",52
,,"Medical Assistant Training School, Noakhali",102
2,Dhaka,"Medical Assistant Training School, Faridpur",52
,,"Medical Assistant Training School, Tangail",102
3,Khulna,"Medical Assistant Training School, Bagerhat",152
,,"Medical Assistant Training School, Kushtia",102
,,"Medical Assistant Training School, Jhenaidah",52
4,Rajshahi,"Medical Assistant Training School, Sirajganj",102
,,Total seats,716
