0,1,2,3,4,5
"Table 10.16. Division-wise profile of the newly-detected leprosy cases, Bangladesh, 2016",,,,,
Division,"Population
(N)","MB
(N)","PB
(N)","Total
(N)","Registered
prevalence/10,000
people"
Barisal,"8,734,091",5,00,5,0.01
Chittagong,"31,974,243",157,126,283,0.1
Dhaka,"50,285,267",387,293,680,0.17
Khulna,"16,750,367",96,37,133,0.08
Rajshahi,"20,432,034",164,200,364,0.17
Rangpur,"17,516,298",331,771,1102,0.51
Sylhet,"11,511,641",175,258,433,0.49
Total,"157,203,941","1,315","1,685","3,000",0.20
