0,1,2,3,4
Month,District,Type,Injured,Dead
May,Gaibandha,Truck-Truck Collision,2,2
May,Lakshmipur,Lightening,4,1
May,Narayanganj,Bus-Leguna Collsion,7,1
May,Gaibandha,Bus fell into ditch,30,0
May,Chittagong,Bus lost control,0,1
May,Dinajpur,Bus-Autorickshaw Collision,2,2
May,Norail,Lightening,1,1
May,Khulna,Gas Cylinder Burst,0,0
Jun,B. Baria,Lightening,3,2
Jun,Munsiganj,Covered van lost control,4,2
Jun,Rangamati,Landslide,65,23
Jun,Chittagong,Landslide,0,4
Jun,Bandarban,Landslide,0,7
Jun,Gaibandha,Minibus-Ambulance Collision,5,1
Jun,Gopalganj,Bus-Microbus Collision,10,5
Jul,Dhaka,Bus-Private Car Collision,7,1
Jul,Kushtia,Lightening,0,5
Jul,Gazipur,Boiler Blast,2,13
Jul,Natore,Truck lost control,0,3
Jul,Dhaka,Fire,1,2
Jul,Comilla,Lorry-Auto-rickshaw Collsion,1,4
Jul,Magura,Bus-Bus Collision,12,2
Jul,Magura,Truck fell into ditch,2,2
Jul,Netrokona,Food poisoning,8,0
Jul,Chittagong,Unknown fever,26,0
Jul,Munsiganj,Bus fell into ditch,8,0
Jul,Narayanganj,Van-Leguna Collision,4,0
Jul,Comilla,Bus-Lorry Collision,11,2
Jul,Narsingdi,bus trolly Collision,7,0
Jul,Chittagong,Covered van-Leguna Collision,5,4
Jul,Chittagong,Boiler blast,8,0
Jul,Comilla,Truck-CNG 3-wheeler Collision,2,1
Jul,Dhaka,Bus lost control,20,1
Jul,Lalmonirhat,Truck-Motorcyle Collision,0,1
Jul,Sylhet,Boat Capsize,0,2
Jul,Dhaka,Wall collapse,4,1
Jul,Jessore,Bus lost control,50,0
Jul,Magura,Bus-Easybike Collision,4,0
Jul,Chittagong,Landslide,0,5
Jul,Jhenaidah,Lightening,0,2
Jul,Manikganj,Bus-Microbus Collision,5,1
Jul,Sirajganj,Bus lost control,7,2
Jul,Lalmonirhat,Truck lost control,1,2
Jul,Bandarban,Landslide,2,4
Jul,Cox’s Bazar,Landslide,0,4
Jul,Rangpur,Motorcycle-Lorry Collision,1,1
