0,1,2,3,4
"Sl.
no.",Name of hospital,"No. of
sanctioned
beds","Average
length of
stay","Bed-
occupancy
rate"
1,"B. Baria District Hospital, B. Baria",250,4.5,97.5
2,"Bagerhat District Hospital, Bagerhat",100,3.1,127.4
3,"Bandarban District Hospital, Bandarban",100,3.8,69.8
4,"Barguna District Hospital, Barguna",100,2.7,101.7
5,"Barisal District Hospital, Barisal",100,3.9,51.3
6,"Bhola District Hospital, Bhola",100,2.1,177.4
7,"Chandpur District Hospital, Chandpur",250,3.1,99.6
8,"Chittagong General Hospital, Chittagong",250,3.3,62
9,"Chuadanga District Hospital, Chuadanga",100,2.1,189.8
