0,1,2,3,4,5,6,7,8
Table 20: Projection of the supply of BSc nurses according to scenario 2 (+10%),,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply
of previ-
ous year","Attrition rate
4%",Total Supply,,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,4064,164600000,0.25
2019,1345,,1076,4064,163,4977,,
2020,1909,,1527,4977,199,6306,,
2021,2773,,2218,6306,252,8272,,
2022,3207,,2566,8272,331,10506,,
2023,6317,10%,5054,10506,420,15140,,
2024,6317,,5054,15140,606,19588,174612904,1.12
2025,6317,,5054,19588,784,23859,,
2026,6317,,5054,23859,954,27958,,
2027,6317,,5054,27958,1118,31894,,
2028,6317,,5054,31894,1276,35672,,
2029,6317,,5054,35672,1427,39299,,
2030,6317,,5054,39299,1572,42781,190686952,2.24
Source: BBS Pop Projection 2011-2061,,,,,,,,
