0,1,2,3,4,5,6,7,8
"Table 69: Projection of the supply of Medical Technologists- Operation Theater
(OT) Assistance according to scenario 2 (+20%)",,,,,,,"Total popula-
tion in BD
(2018, 2024
& 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,80%,,,,,
2018,,,,,,165,164600000,0.01
2019,51,,41,165,7,199,,
2020,65,,52,199,8,243,,
2021,191,,153,243,10,386,,
2022,121,,97,386,15,468,,
2023,121,,97,468,19,546,,
2024,145,20%,116,546,22,640,174612904,0.04
2025,145,,116,640,26,731,,
2026,145,,116,731,29,818,,
2027,145,,116,818,33,901,,
2028,145,,116,901,36,981,,
2029,145,,116,981,39,1058,,
2030,145,,116,1058,42,1132,190686952,0.06
Source: BBS Pop Projection 2011-2061,,,,,,,,
