0,1,2,3,4,5,6,7,8,9
Table 3: Projection of the supply of doctors according to scenarios 2 (+20%),,,,,,,,"Total population
in BD
(2018, 2024 & 2030)","Density
per 10000"
Year,New registrations,,,,"Supply of
previous
year","Attrition
rate
4%","Total Sup-
ply",,
,Graduates,,Increase,80%,,,,,
2018,,,,,,,76867,164600000,4.67
2019,9390,,,7512,76867,3075,81304,,
2020,8782,,,7026,81304,3252,85078,,
2021,9310,,,7448,85078,3403,89123,,
2022,9256,,,7405,89123,3565,92963,,
2023,9311,,,7449,92963,3719,96693,,
2024,11225,,20%,8980,96693,3868,101805,174612904,5.83
2025,11225,,,8980,101805,4072,106713,,
2026,11225,,,8980,106713,4269,111424,,
2027,11225,,,8980,111424,4457,115947,,
2028,11225,,,8980,115947,4638,120289,,
2029,11225,,,8980,120289,4812,124458,,
2030,11225,,,8980,124458,4978,128459,190686952,6.74
,,,,,,Source: BBS Pop Projection 2011-2061,,,
