0,1,2,3,4,5,6,7,8
Table 12: Projection of the supply ofdentistsaccording to scenarios 3-4 (+20%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,9608,164600000,0.58
2019,924,,878,9608,384,10101,,
2020,963,,915,10101,404,10612,,
2021,1195,,1135,10612,424,11323,,
2022,908,,863,11323,453,11733,,
2023,1046,,994,11733,469,12257,,
2024,1339,20%,1272,12257,490,13039,174612904,0.75
2025,1339,,1272,13039,522,13790,,
2026,1339,,1272,13790,552,14510,,
2027,1339,,1272,14510,580,15202,,
2028,1339,,1272,15202,608,15866,,
2029,1339,,1272,15866,635,16503,,
2030,1339,,1272,16503,660,17115,190686952,0.90
