0,1,2,3,4,5,6,7,8,9
"Table 43: Projection of the supply of Medical Technologists-Radiotherapy accord-
ing to scenario 1",,,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",,Total Supply,,
,"Gradu-
ates",Increase,80%,,,,,,
2018,,,,,,576,,164600000,0.03
2019,75,,60,576,23,613,,,
2020,77,,62,613,25,650,,,
2021,64,,51,650,26,675,,,
2022,84,,67,675,27,715,,,
2023,84,,67,715,29,754,,,
2024,84,,67,754,30,791,,174612904,0.05
2025,84,,67,791,32,827,,,
2026,84,,67,827,33,861,,,
2027,84,,67,861,34,894,,,
2028,84,,67,894,36,925,,,
2029,84,,67,925,37,955,,,
2030,84,,67,955,38,984,,190686952,0.05
Source: BBS Pop Projection 2011-2061,,,,,,,,,
