0,1,2,3,4,5,6,7,8
"Table 49: Projection of the supply of Medical Technologists- Radiography & Imaging
according to scenario 1",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,"Grad-
uates","In-
crease",80%,,,,,
2018,,,,,,3435,164600000,0.21
2019,354,,283,,137,3581,,
2020,373,,298,,143,3736,,
2021,399,,319,,149,3906,,
2022,399,,319,,156,4069,,
2023,399,,319,,163,4225,,
2024,399,,319,,169,4375,174612904,0.25
2025,399,,319,,175,4520,,
2026,399,,319,,181,4658,,
2027,399,,319,,186,4791,,
2028,399,,319,,192,4918,,
2029,399,,319,,197,5041,,
2030,399,,319,,202,5158,190686952,0.27
Source: BBS Pop Projection 2011-2061,,,,,,,,
