0,1,2,3,4,5,6,7,8
"Table 38: Projection of the supply of Medical Technologists-LAB according to scenario
2 (+10%)",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%","Total Sup-
ply",,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,12744,164600000,0.77
2019,671,,537,12744,510,12771,,
2020,770,,616,12771,511,12876,,
2021,795,,636,12876,515,12997,,
2022,707,,566,12997,520,13043,,
2023,853,,682,13043,522,13204,,
2024,938,10%,751,13204,528,13426,174612904,0.77
2025,938,,751,13426,537,13640,,
2026,938,,751,13640,546,13845,,
2027,938,,751,13845,554,14042,,
2028,938,,751,14042,562,14231,,
2029,938,,751,14231,569,14412,,
2030,938,,751,14412,576,14586,190686952,0.76
Source: BBS Pop Projection 2011-2061,,,,,,,,
