0,1,2,3,4,5,6,7,8
"Table 70: Projection of the supply of Medical Technologists- Operation Theater
(OT) Assistance according to scenarios 3-4",,,,,,,"Total population
in BD
(2018, 2024 & 2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous year","Attrition
rate
4%","Total
Supply",,
,"Gradu-
ates","In-
crease",95%,,,,,
2018,,,,,,165,164600000,0.01
2019,51,,48,165,7,207,,
2020,65,,62,207,8,260,,
2021,191,,181,260,10,431,,
2022,121,,115,431,17,529,,
2023,121,,115,529,21,623,,
2024,121,,115,623,25,713,174612904,0.04
2025,121,,115,713,29,799,,
2026,121,,115,799,32,882,,
2027,121,,115,882,35,962,,
2028,121,,115,962,38,1038,,
2029,121,,115,1038,42,1112,,
2030,121,,115,1112,44,1182,190686952,0.06
Source: BBS Pop Projection 2011-2061,,,,,,,,
