0,1,2,3,4,5,6,7,8
"Table 68: Projection of the supply of Medical Technologists- Operation Theater (OT)
Assistance according to scenario 2 (+10%)",,,,,,,"Total popula-
tion in BD
(2018, 2024
& 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,165,164600000,0.01
2019,51,,41,165,7,199,,
2020,65,,52,199,8,243,,
2021,191,,153,243,10,386,,
2022,121,,97,386,15,468,,
2023,121,,97,468,19,546,,
2024,133,10%,106,546,22,630,174612904,0.04
2025,133,,106,630,25,712,,
2026,133,,106,712,28,790,,
2027,133,,106,790,32,865,,
2028,133,,106,865,35,936,,
2029,133,,106,936,37,1005,,
2030,133,,106,1005,40,1072,190686952,0.06
Source: BBS Pop Projection 2011-2061,,,,,,,,
