0,1,2,3,4,5,6,7,8,9
Table 2: Projection of the supply of doctors according to scenario 2 (+10%),,,,,,,,"Total popu-
lation in BD
(2018, 2024
& 2030)","Density per
10000"
Year,New registrations,,,,"Supply of
previous
year","Attrition rate
4%","Total
Supply",,
,"Gradu-
ates",,Increase,80%,,,,,
2018,,,,,,,76867,164600000,4.67
2019,9390,,,7512,76867,3075,81304,,
2020,8782,,,7026,81304,3252,85078,,
2021,9310,,,7448,85078,3403,89123,,
2022,9256,,,7405,89123,3565,92963,,
2023,9311,,,7449,92963,3719,96693,,
2024,10289,,10%,8232,96693,3868,101057,174612904,5.79
2025,10289,,,8231,101057,4042,105246,,
2026,10289,,,8231,105246,4210,109267,,
2027,10289,,,8231,109267,4371,113127,,
2028,10289,,,8231,113127,4525,116834,,
2029,10289,,,8231,116834,4673,120391,,
2030,10289,,,8231,120391,4816,123807,190686952,6.49
,,,,,,,Source: BBS Pop Projection 2011-2061,,
