0,1,2,3,4,5,6,7,8,9
"Table 3 (ctd): Number of public and private health worker education institutions, number and percentage of seats,
by division.",,,,,,,,,
"Division (% of
population)","N. dental colleges, seats and
% of total seats",,,"N. MATS seats and % of total
seats",,,"N. health technology institutes,
seats and % of total seats",,
,Total,Public,Private,Total,Public,Private,Total,Public,Private
"Rajshahi
(22.12%)","4 (149,
7.69%)","1 (59,
11.1%)","3 (90,
6.4%)","45 (2932,
20.94%)","1 (102,
12.5%)","44
(2830,
1.5%)","22 (2028,
17.8%)","2 (357,
14.1%)","20 (1671,
18.8%)"
"Dhaka
(17.82%)","21 (1260,
65%)","3 (205,
38.5%)","18 (1055,
75.1%)","78 (5714,
41%)","2 (204,
25%)","76
(5510,
41.8%)","55(5888,
51.69%)","4 (604,
23.9%)","51 (5284,
59.6%)"
"Chattogram
(14.06%)","2 (125,
6.45%)","1 (60,
11.3%)","1 (65,
4.6%)","13 (819,
5.9%)","2 (154,
18.9%)","11 (665,
5%)","8 (727,
6.38%)","1 (277,
11%)","7 (450,
5.1%)"
"Rangpur
(13.92%)","2 (152,
7.84%)","1 (52,
9.8%)","1 (100,
7.1%)","22 (1410,
10% )",0,"22
(1410,
0.7%)","5 (697,
6.12%)","1 (277,
11%)","4 (420,
4.7%)"
Sylhet (11.21%),"3 (117,
6.04%)","1 (52,
9.8%)","2 (65,
4.6%)","7 (500,
3.5%)",0,"7 (500,
3.8%)","3 (357,
3.13%)","1 (257,
10.2%)","2 (100,
1.1%)"
Khulna (9.71%),0,0,0,"25 (1581,
11.29% )","4 (356,
43.6%)","21
(1225,
9.3%)","6 (707,
6.21%)","2 (377,
14.9%)","4 (330,
3.7%)"
"Barishal
(6.83%)","1 (52,
2.68%)","1 (52,
9.8%)",0,"6 (375,
2.67%)",0,"7 (375,
2.8%)","5 (527,
4.63%)","1 (277,
11%)","4 (250,
2.8%)"
"Mymensingh
(4.32%)","2 (82,
4.23%)","1 (52,
9.8%)","1 (30,
2.1%)","12 (670,
4.7%)",0,"12 (670,
5.1%)","6 (460,
4.04%)","1 (100,
4%)","5 (360,
4.1%)"
"BANGLA-
DESH","35
(1937)","9
(532)","26
(1405)","209
(14001)","9
(816)","200
(13185)","110
(11391)","13
(2526)","97
(8865)"
