0,1,2,3,4,5,6,7,8
Table 16: Projection of the supply of SACMOs according to scenarios 3-4,,,,,,,"Total
population in
BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply
of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,14081,164600000,0.86
2019,3787,,3598,14081,563,17115,,
2020,3251,,3088,17115,685,19519,,
2021,3549,,3372,19519,781,22110,,
2022,3288,,3124,22110,884,24349,,
2023,3288,,3124,24349,974,26499,,
2024,3288,,3124,26499,1060,28562,174612904,1.64
2025,3288,,3124,28562,1142,30544,,
2026,3288,,3124,30544,1222,32445,,
2027,3288,,3124,32445,1298,34271,,
2028,3288,,3124,34271,1371,36024,,
2029,3288,,3124,36024,1441,37707,,
2030,3288,,3124,37707,1508,39322,190686952,2.06
