0,1,2,3,4,5,6,7,8
"Table 72: Projection of the supply of Medical Technologists- Operation Theater (OT)
Assistance according to scenarios 3-4 (+20%)",,,,,,,"Total popula-
tion in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,165,164600000,0.01
2019,51,,48,165,7,207,,
2020,65,,62,207,8,260,,
2021,191,,181,260,10,431,,
2022,121,,115,431,17,529,,
2023,121,,115,529,21,623,,
2024,145,20%,138,623,25,736,174612904,0.04
2025,145,,138,736,29,844,,
2026,145,,138,844,34,949,,
2027,145,,138,949,38,1049,,
2028,145,,138,1049,42,1145,,
2029,145,,138,1145,46,1237,,
2030,145,,138,1237,49,1325,190686952,0.07
Source: BBS Pop Projection 2011-2061,,,,,,,,
