0,1,2,3,4,5,6,7,8
"Table 29: Projection of the supply of Diploma nurses according to scenarios 3-4
(+10%)",,,,,,,"Total population
in BD
(2018, 2024 & 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,"Gradu-
ates",Increase,95%,,,,,
2018,,,,,,50539,164600000,3.07
2019,5394,,5124,50539,2022,53642,,
2020,6711,,6375,53642,2146,57872,,
2021,7742,,7355,57872,2315,62912,,
2022,13736,10%,13049,62912,2516,73444,,
2023,13736,,13049,73444,2938,83555,,
2024,13736,,13049,83555,3342,93262,174612904,5.34
2025,13736,,13049,93262,3730,102580,,
2026,13736,,13049,102580,4103,111526,,
2027,13736,,13049,111526,4461,120114,,
2028,13736,,13049,120114,4805,128358,,
2029,13736,,13049,128358,5134,136273,,
2030,13736,,13049,136273,5451,143871,190686952,7.54
Source: BBS Pop Projection 2011-2061,,,,,,,,
