0,1,2,3,4,5,6,7,8
Table 34: Projection of the supply of midwifes according to scenarios 3-4,,,,,,,"Total
population in
BD
(2018, 2024 &
2030)","Density per
10000"
Year,"New registrations
Graduates Increase 95%",,,"Supply of
previous year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,,,,,,
2018,,,,,,2131,164600000,0.13
2019,1068,,1015,2131,85,3060,,
2020,1416,,1345,3060,122,4283,,
2021,1441,,1369,4283,171,5481,,
2022,2959,,2811,5481,219,8073,,
2023,3411,,3240,8073,323,10990,,
2024,3411,,3240,10990,440,13791,174612904,0.79
2025,3411,,3240,13791,552,16480,,
2026,3411,,3240,16480,659,19061,,
2027,3411,,3240,19061,762,21539,,
2028,3411,,3240,21539,862,23918,,
2029,3411,,3240,23918,957,26202,,
2030,3411,,3240,26202,1048,28394,190686952,1.49
