0,1,2,3,4,5,6,7,8
Table 33: Projection of the supply of midwifes according to scenario 2 (+20%),,,,,,,"Total population in
BD
(2018, 2024 & 2030)","Density
per 10000"
Year,New registrations,,,"Supply
of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates Increase 80%,,,,,,,
2018,,,,,,2131,164600000,0.13
2019,1068,,854,2131,85,2900,,
2020,1416,,1133,2900,116,3917,,
2021,1441,,1153,3917,157,4913,,
2022,3551,20%,2841,4913,197,7557,,
2023,3551,,2841,7557,302,10096,,
2024,3551,,2841,10096,404,12533,174612904,0.72
2025,3551,,2841,12533,501,14872,,
2026,3551,,2841,14872,595,17118,,
2027,3551,,2841,17118,685,19274,,
2028,3551,,2841,19274,771,21344,,
2029,3551,,2841,21344,854,23331,,
2030,3551,,2841,23331,933,25239,190686952,1.32
